u	0.00193 -0.02513 -0.00409 0.09251 -0.0214 -0.00528 0.08675 0.12067 -0.0465 -0.11479 -0.13444 -0.04102 0.01873 0.06224 0.00819 0.06408 0.0315 0.08412 -0.12552 -0.09215 -0.1708 0.15549 -0.05156 0.1389 0.0281 -0.00204 0.0854 -0.05364 0.0019 0.08794 -0.13311 -0.13968 -0.07774 0.00172 0.13653 -0.09299 -0.05818 0.16903 0.1484 0.01003 0.07546 -0.04595 0.12237 0.04999 0.09357 0.08489 0.0785 0.02103 -0.00651 -0.1247 0.00165 -0.09456 0.12085 -0.00455 -0.00641 -0.17292 0.00682 0.08071 0.13907 0.07222 -0.02074 0.09866 0.11878 0.05644 -0.08397 -0.00766 -0.08384 -0.07322 0.04947 -0.01569 -0.00311 0.07025 0.08861 -0.05384 -0.12021 0.05991 0.00113 -0.03151 -0.09174 -0.08186 0.00244 0.06308 -0.05279 0.05491 0.06794 0.07426 0.16282 -0.05748 -0.16002 -0.11132 -0.12832 0.11468 -0.0828 -0.131 0.16397 0.07399 0.1682 0.13656 0.10427 0.02559 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
é	0.1042 -0.01478 0.11835 0.12004 -0.14076 -0.1503 -0.07301 -0.15173 0.09366 -0.16538 -0.14673 -0.01641 0.10108 0.15137 -0.14823 0.0385 -0.05452 0.02674 0.07444 -0.13187 0.04361 -0.06252 -0.12989 0.1103 -0.10369 0.10297 0.07127 -0.13651 0.12079 0.09405 0.06219 0.00669 -0.09953 -0.10887 -0.034 -0.05495 0.14932 -0.00834 -0.06738 -0.14536 0.17226 0.12501 -0.03592 0.04788 -0.03291 -0.14778 -0.16617 -0.07293 -0.00578 0.06509 -0.09466 0.06784 0.10049 -0.07258 0.00127 0.05468 0.15906 0.05394 0.11759 0.09352 -0.15128 0.14721 0.11493 -0.16091 -0.10101 0.12708 0.15793 -0.00144 0.14307 0.16743 0.13563 0.05253 -0.02199 0.07632 0.09393 -0.06932 0.11339 -0.14231 0.06827 -0.11519 -0.02461 0.01368 -0.04218 -0.08378 -0.1425 -0.12393 0.00994 0.03323 0.07719 -0.08695 0.08643 0.06988 -0.15616 -0.09775 -0.04988 -0.13073 0.00662 0.03792 -0.10345 0.06341 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
t	-0.04068 -0.01188 0.04503 0.12042 0.02657 0.1015 0.1666 -0.16505 0.00598 -0.05367 -0.03505 0.07847 -0.02819 0.09751 -0.00638 0.10981 0.00273 -0.15646 0.13677 -0.06851 0.0977 0.04508 0.04436 0.06604 0.07454 0.10278 -0.04969 -0.08496 -0.13403 -0.07032 -0.07089 -0.11732 0.03798 0.03815 -0.10759 -0.01085 0.03808 0.11614 -0.08841 -0.12836 0.09095 0.10577 0.03503 0.1239 0.00343 0.10845 -0.08858 -0.0411 0.10083 0.10506 -0.01195 -0.03401 0.12518 0.05384 -0.11821 -0.11106 -0.04616 -0.0855 0.1398 0.09335 0.12141 0.13869 0.08059 0.08453 -0.03053 -0.16521 0.12251 0.08186 0.02957 0.11256 -0.06408 0.05757 0.06012 0.00793 -0.02995 -0.10001 0.14409 -0.15411 0.0905 -0.1644 0.15373 -0.12178 0.04919 0.06406 -0.14452 -0.01461 -0.09363 0.08015 0.14141 0.10995 -0.02063 0.08151 -0.05735 0.00945 -0.12359 0.05475 0.11982 0.01256 0.05248 -0.07592 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
û	0.08871 -0.14079 -0.06096 -0.13036 -0.08586 -0.15864 0.14915 -0.04958 0.10345 -0.15512 -0.04192 0.10932 0.10972 0.13608 -0.00761 -0.08558 -0.03649 0.11787 -0.12848 -0.00892 0.10855 0.05268 -0.15699 0.03107 0.08029 -0.11166 -0.06867 -0.08519 -0.07348 -0.08736 -0.15383 0.16352 -0.04003 -0.04051 -0.04496 -0.10452 -0.09402 -0.09467 -0.16684 0.13299 -0.13666 -0.07564 0.09244 0.02165 0.05763 -0.10615 -0.02172 0.03884 -0.15104 0.00663 0.10364 -0.05693 -0.11251 0.01221 0.07355 0.11373 -0.07974 -0.11106 -0.08582 -0.16469 0.01239 -0.07158 0.05956 -0.02185 0.15002 0.11458 -0.11143 -0.12721 -0.01205 0.15379 -0.17226 0.05708 0.02941 0.16392 0.00549 0.11261 -0.03313 -0.0901 0.01558 0.11439 -0.09222 0.01884 -0.00761 -0.07967 -0.05472 0.05936 0.07404 -0.13042 0.0406 -0.05028 -0.12752 -0.01284 0.06049 0.0123 0.11675 -0.07674 -0.04022 0.09583 -0.12711 0.16037 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
-	0.11138 0.10616 -0.11488 0.127 0.15954 0.16456 0.08925 0.06092 0.02331 -0.07745 0.12097 -0.00855 0.06954 -0.02253 -0.08314 0.12674 0.08885 -0.05755 0.13927 0.07146 -0.03152 -0.1732 -0.04534 -0.01519 -0.1565 0.05716 -0.01671 -0.16428 0.00981 -0.01713 0.07112 0.11287 -0.10273 -0.06658 -0.04931 -0.02526 0.06387 0.05227 -0.0623 0.11621 -0.032 0.05809 -0.16768 -0.12231 -0.10283 -0.16997 0.10942 0.00621 -0.05462 0.05567 0.15179 -0.09777 0.08249 0.14637 0.13251 0.02186 0.06093 -0.03244 0.12839 0.10225 -0.06587 0.14397 -0.09884 0.0929 0.01207 -0.04167 0.00331 -0.02629 0.07634 0.13499 0.02576 -0.01309 -0.04308 -0.02955 0.16806 -0.00989 0.14748 -0.08773 0.11387 0.044 -0.14872 -0.14066 -0.15944 -0.10542 0.01257 0.01732 0.08886 -0.11956 -0.08027 -0.09798 0.00647 -0.05261 -0.11905 0.03752 -0.0726 -0.03175 -0.05796 0.03268 0.08042 -0.04025 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
g	0.1181 0.06316 -0.0889 0.08965 0.08874 -0.02329 -0.05708 -0.07692 -0.11674 -0.11613 -0.08957 0.03287 -0.01171 -0.06709 -0.16134 -0.05706 0.15741 -0.07699 -0.06971 -0.10781 0.05891 -0.14383 -0.00846 -0.074 0.0991 0.01124 -0.03759 -0.05839 0.03654 -0.03203 -0.08919 0.08558 -0.06157 0.16255 -0.06503 0.03392 -0.13904 -0.07651 -0.15045 0.07015 0.05078 0.05233 0.05317 -0.06144 -0.10577 0.13653 -0.17047 0.06539 -0.11035 -0.0316 -0.12608 0.04117 0.02574 0.08715 -0.04884 0.06309 0.07453 -0.14551 0.0518 0.02496 0.02387 -0.0117 -0.09487 0.07729 -0.09049 -0.10045 -0.05841 0.12722 -0.07866 0.03712 0.07308 -0.17082 -0.06152 -0.05632 -0.12213 0.03552 -0.15855 -0.08605 0.05084 -0.13805 0.00737 -0.15021 -0.07507 0.03478 -0.15091 0.08613 0.03401 0.09215 0.14131 -0.10127 -0.14976 0.0153 0.16172 -0.02399 0.02571 0.07755 0.11822 0.00235 0.10501 -0.11672 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
è	-0.00573 -0.11319 0.01514 0.02616 0.10698 0.12463 0.07442 0.07235 0.15289 0.03674 0.0402 0.07856 -0.11761 0.03621 0.09571 -0.15317 0.03046 -0.1732 -0.08159 -0.15752 0.14948 -0.12574 -0.06568 -0.14286 0.03348 0.14187 0.08795 0.06979 -0.02593 -0.07556 0.06069 0.17169 -0.15433 0.05808 0.09506 0.098 0.0015 0.14864 0.13766 -0.12452 -0.06608 -0.05654 0.06327 0.08022 -0.06695 -0.12691 -0.10446 0.15764 0.10423 0.05952 0.01149 -0.13249 0.10297 -0.01114 -0.09191 -0.12463 -0.05327 0.15883 0.12678 0.11422 -0.05812 -0.01803 0.00962 0.12697 -0.0245 -0.06075 -0.04218 -0.16937 0.05623 -0.10737 0.11036 -0.16686 -0.10445 -0.13098 0.12106 -0.12636 -0.11462 0.15727 0.11397 0.0354 -0.13715 -0.10176 -0.06747 -0.03716 0.06361 -0.07105 0.01388 0.10988 -0.0008 0.11779 -0.04603 -0.16703 0.07589 -0.08502 -0.16648 0.12976 -0.00126 -0.13794 0.05765 -0.10763 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
ç	0.08922 0.01339 -0.1397 -0.02396 -0.05967 -0.04439 0.15208 -0.12489 0.03099 0.09803 -0.05377 0.05994 0.05208 -0.16245 0.1476 -0.16935 0.15119 -0.08537 0.0557 -0.09862 -0.06518 -0.03262 -0.01672 0.13299 0.01027 0.14037 0.16173 -0.03323 0.04328 -0.12338 -0.00386 0.09814 -0.16319 0.08243 -0.09144 0.09207 -0.13954 -0.11858 0.14118 0.09568 -0.1436 0.15642 -0.00104 -0.08897 -0.16714 -0.14749 0.05423 0.0634 0.06504 -0.1655 0.0511 0.05863 -0.11869 0.0286 -0.16895 -0.05234 0.1532 -0.06372 0.05095 0.16898 -0.01187 -0.03346 -0.15605 0.11134 -0.15827 0.03612 0.00112 -0.00761 0.01573 -0.16737 -0.10215 0.002 0.12707 -0.10838 0.07173 -0.09616 0.09629 -0.13627 -0.00545 -0.08231 0.12519 -0.09293 -0.04623 -0.02305 -0.0092 0.03305 0.09665 0.16606 0.17072 -0.1397 0.0896 -0.13765 -0.10503 -0.09756 0.07671 0.05801 0.14885 -0.0183 0.04005 0.1325 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
h	-0.10021 -0.06349 0.04788 -0.03481 0.07515 -0.16814 -0.09775 -0.16346 -0.10219 -0.12776 0.15765 0.06433 -0.06711 0.08166 -0.00321 0.011 -0.16697 0.01312 -0.0231 0.10103 -0.01569 -0.05862 -0.05717 0.05744 -0.17257 0.10585 0.14118 -0.10563 0.04605 -0.01292 -0.0287 0.12609 0.16798 0.16392 0.00289 0.15267 -0.03797 0.14676 -0.16091 -0.03387 0.0764 -0.08166 -0.08791 0.11256 0.16704 -0.02506 -0.08147 0.02061 0.03415 0.10056 -0.05383 -0.10438 -0.12392 -0.05767 0.00189 0.02909 0.05476 0.08656 0.12239 0.12324 -0.01379 -0.00121 0.0868 -0.07265 0.02497 0.08727 0.01154 -0.08886 0.05859 0.09248 0.15802 -0.01484 0.02192 -0.15732 -0.02299 -0.04675 0.04152 -0.0066 -0.06163 -0.03844 -0.15905 -0.06681 0.05097 -0.00408 0.0007 0.00809 0.0013 0.12758 0.16528 0.14239 0.1415 0.04201 -0.16718 0.02791 0.12415 0.06028 0.15111 -0.08632 -0.07861 -0.11978 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
v	-0.1572 0.02423 -0.05644 0.07773 -0.10786 -0.02356 -0.13211 0.06158 0.00506 0.09063 0.16155 -0.11032 -0.0142 -0.16624 -0.10581 0.15371 -0.16002 0.12555 0.14472 -0.14109 0.02979 0.00854 -0.12537 -0.01356 -0.04707 0.05152 -0.10331 0.12988 0.14196 0.0937 0.11608 -0.03881 0.10071 -0.16458 0.0692 -0.14738 0.13731 -0.05933 -0.06038 0.05142 0.00023 0.1552 -0.11223 0.12222 -0.06236 -0.15669 -0.0258 -0.07459 -0.16627 0.00785 -0.13431 -0.13096 0.10173 0.05618 0.07546 0.14932 -0.1631 -0.1129 0.12221 0.08653 0.13764 0.0341 0.16064 -0.01095 0.15998 0.14779 -0.01964 0.11074 -0.08142 -0.0474 0.10676 0.05432 -0.15722 0.12347 0.07932 0.01319 0.13621 -0.11289 -0.0905 -0.14186 -0.10862 -0.14746 0.12146 -0.06276 0.09879 -0.01041 0.07957 -0.13327 0.0464 0.15322 0.11822 -0.01493 -0.17208 0.07033 0.12715 0.10728 -0.03132 0.05773 0.07008 -0.01161 -0.12632 -0.06468 0.07525 0.10476 0.07768 -0.15369 0.04473 0.02982 -0.12037 -0.12612 0.10314 -0.07574 -0.0675 -0.08179 -0.02842 -0.12608 0.0618 0.0303 -0.14123 -0.11876 -0.07613 -0.06478 0.04851 -0.10852 0.08125 0.07551 -0.06638 0.03709 -0.12928 0.13304 0.02348 0.08489 0.10019 0.16959 0.01454 -0.08679 -0.07571 0.16584 -0.03974 0.11429 -0.03778 -0.01306 0.12173 -0.03673 0.09742 -0.01936 -0.04198 -0.14735 0.09817 0.03325 0.02215 -0.11528 0.15299 -0.10522 -0.16733 -0.00403 0.06646 -0.06281 0.07831 -0.00987 0.13526 -0.04782 0.09882 -0.16222 0.0812 0.12359 -0.04619 -0.03458 0.15611 0.03232 -0.06183 0.14352 0.08611 -0.02001 0.0105 -0.01343 0.03914 -0.01471 0.01638 -0.02582 0.04286 0.162 0.04007 0.11432 -0.01641 -0.15036 -0.05386 0.08311 0.0113 -0.05866 -0.12355 0.05678 0.0063 0.00883 0.02186 -0.16637 0.02069 -0.08804 0.06339 0.08741
