ì	-0.02864 0.03543 -0.1387 -0.06242 0.10783 0.13979 0.00521 -0.10604 0.0276 0.10772 0.02983 -0.03879 0.12697 -0.06155 -0.10389 -0.07623 0.16011 0.02708 -0.10255 -0.02532 0.02996 0.09338 0.07116 -0.04249 -0.11355 0.00513 -0.16112 -0.02761 0.13992 -0.14069 0.06371 0.07139 0.01494 0.04322 0.01664 0.05563 -0.14233 0.01051 -0.1063 0.09367 -0.16356 -0.07584 -0.06898 -0.05237 -0.10028 -0.08313 0.13654 0.00498 0.00694 0.12128 -0.0284 -0.05577 -0.06914 0.16646 0.1594 -0.01842 0.05117 -0.0508 -0.07742 0.11321 -0.08411 0.0905 0.1549 -0.05803 0.11699 -0.16384 -0.08852 0.08259 0.09311 0.11497 -0.0961 0.10185 -0.09294 -0.07409 -0.11952 -0.03326 -0.01675 0.03094 -0.1002 0.0392 -0.05735 -0.08372 0.13172 -0.14073 -0.06408 0.08819 -0.03574 -0.00026 0.09597 0.16381 0.11051 0.13519 -0.1538 -0.01784 0.08209 -0.0545 0.08132 -0.13326 0.10997 -0.1213 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
u	-0.07346 -0.10689 -0.0737 0.0051 0.11946 -0.05343 0.14631 -0.09492 0.05883 0.09337 -0.08411 0.14724 -0.16173 0.1591 0.0075 -0.16471 -0.12554 0.03276 0.05689 0.089 -0.01364 0.10328 0.02723 -0.12979 -0.12321 -0.05342 0.10133 0.03124 -0.01065 0.05213 0.08667 0.07386 0.07289 0.04454 0.15177 -0.01583 -0.1343 0.15797 0.04003 -0.09917 -0.08241 -0.15434 -0.03789 0.03468 -0.00718 0.00426 0.06808 -0.07236 -0.05897 -0.11883 -0.14507 0.06428 -0.13671 0.1335 0.07469 0.13744 0.07661 -0.08442 -0.05506 0.14044 0.05157 -0.06219 0.01734 0.04449 -0.1562 -0.02246 0.07158 -0.16314 0.10299 -0.0314 0.16259 -0.0607 -0.07335 0.10062 -0.0378 -0.11126 -0.12862 0.15629 -0.09188 0.13449 -0.03662 -0.01075 -0.07881 -0.04705 -0.03837 0.05029 0.03329 -0.0306 0.06647 0.12689 0.13454 0.06114 -0.10924 0.14131 0.16199 -0.00806 0.14924 -0.03506 0.04693 -0.01238 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
é	0.15946 0.00873 0.01015 0.07724 0.11825 0.05847 0.13285 -0.01403 -0.08235 -0.08723 -0.05124 -0.06952 0.14401 0.11541 -0.0916 -0.12643 0.16628 0.09557 0.00834 0.16949 -0.13893 0.08086 -0.10741 -0.03196 0.0209 0.05891 0.00846 0.07838 -0.12117 0.08404 0.10092 -0.1304 0.05745 0.05525 0.13257 -0.12837 -0.16718 0.13064 -0.16664 0.15366 -0.08663 -0.16756 0.13506 0.00923 -0.00239 0.07426 0.16529 -0.13746 -0.11266 0.13674 0.00119 -0.16742 -0.01134 0.12832 -0.05849 -0.11232 -0.03872 0.16637 -0.01928 -0.1468 0.03423 0.11159 -0.16273 0.07671 0.05502 0.12688 0.15215 -0.05542 0.05253 0.05186 -0.01838 -0.12284 -0.02158 -0.16303 -0.10775 -0.16999 0.0592 -0.08369 -0.15134 0.09796 0.09712 -0.16678 -0.14258 -0.10474 -0.00787 -0.10525 0.15832 0.1712 -0.11057 -0.17316 0.03478 -0.12358 -0.13475 0.16076 0.13382 -0.10836 0.11146 -0.10442 0.14407 -0.00474 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
t	-0.08032 -0.09376 -0.1691 0.0783 0.17203 0.13135 0.00579 0.16443 0.00671 -0.10049 0.13497 -0.12751 -0.03328 0.00448 -0.13233 -0.06261 0.08496 0.00633 -0.0481 0.06014 -0.00313 -0.08018 0.04723 -0.07752 0.04286 0.10331 0.12085 0.14321 0.17297 0.09637 -0.12325 0.02705 -0.14135 -0.0455 0.01803 -0.17309 0.03315 -0.07517 -0.02293 -0.02132 -0.10379 0.1317 0.1141 0.17244 0.14706 0.16987 0.10931 -0.12862 -0.03331 0.11041 -0.15089 0.15484 0.07948 0.02934 -0.02306 0.05967 0.03842 0.01798 0.03179 0.1211 -0.17069 -0.06584 0.15376 -0.10406 0.0252 0.16303 0.10555 0.11038 0.00754 -0.04441 0.0978 -0.06226 -0.10318 0.13827 -0.0732 0.0691 -0.08006 0.01802 0.10218 -0.07011 -0.07407 -0.09681 -0.03673 0.11046 0.14933 -0.07764 -0.00266 0.13652 -0.09284 -0.02326 0.15425 0.12621 0.00571 0.03092 0.15494 0.01376 0.10591 -0.08986 0.13922 0.04782 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
-	0.05349 -0.09397 0.02917 -0.13818 -0.14707 0.16099 -0.02224 0.02146 -0.10946 0.04062 0.02292 0.1658 0.13681 -0.05445 -0.14733 0.16016 0.13958 -0.12503 0.16843 -0.13716 0.15068 0.07455 0.06174 -0.02863 -0.1364 -0.04587 0.143 -0.1 0.04542 0.02675 0.00583 0.09503 -0.14815 0.07962 0.09125 -0.0423 -0.05193 -0.06011 0.05228 0.00342 0.09132 0.16841 -0.04772 -0.05202 0.11409 0.08165 0.04829 0.10613 -0.06801 -0.04357 0.04682 -0.02436 0.14986 0.12372 0.04078 -0.12013 -0.09989 0.09364 0.12857 0.15162 0.16651 -0.00433 0.1309 0.1073 -0.16796 -0.12563 0.14448 0.04048 -0.06835 -0.06905 0.1004 -0.03297 -0.14579 0.05295 -0.09403 0.11945 -0.00256 -0.06418 0.09888 0.05135 -0.0315 -0.11732 0.13249 -0.03501 -0.08651 -0.13182 -0.1368 -0.11573 -0.13561 0.08997 0.13438 0.09725 -0.05118 0.01688 0.16087 -0.07526 0.04098 -0.0563 0.08273 0.07893 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
g	0.12744 0.07888 0.04309 0.08768 0.17307 0.11118 0.12941 -0.10525 0.08204 0.03867 -0.00099 -0.00727 0.06428 0.09445 -0.02434 0.12405 0.15656 -0.12787 0.01127 -0.12365 -0.06359 0.11286 -0.07909 0.10323 -0.08653 0.01621 -0.08487 0.17175 0.10875 -0.05009 0.15807 -0.03043 0.00883 -0.08917 -0.17031 0.07179 -0.09176 -0.09792 -0.09933 -0.03528 0.02774 0.07313 0.12872 -0.10952 -0.05935 -0.02752 0.12415 0.01012 -0.08966 0.0375 0.09817 -0.14155 0.03509 0.00283 0.04101 -0.0635 -0.01503 -0.03524 -0.16897 0.11634 0.05978 -0.05872 -0.13766 0.01172 0.16318 -0.16531 0.06917 0.13941 -0.16986 0.01361 -0.12654 -0.13128 0.0848 0.08501 0.0284 0.10741 0.0548 0.13371 0.07916 -0.13303 0.0555 0.12933 0.00147 0.13104 -0.14256 -0.00611 -0.12007 -0.13071 -0.02807 -0.11711 0.01535 0.03667 -0.04041 0.16428 0.0917 -0.09244 -0.02455 0.09949 0.08237 0.08362 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
h	0.04549 0.08895 0.16631 -0.09359 0.13369 -0.11477 0.16244 0.05305 0.11906 -0.02711 -0.12405 -0.15449 0.15822 0.01462 -0.16366 0.03308 0.14733 0.00307 -0.16272 -0.12498 0.10246 0.09741 0.09756 0.11575 -0.16691 -0.03283 -0.03189 0.12816 0.05068 0.13995 0.10628 -0.1278 0.1063 0.05677 -0.09096 -0.15254 0.14735 0.08847 -0.02936 -0.02083 -0.12525 -0.09169 0.16112 -0.0294 0.15717 0.0418 0.14206 0.13977 -0.10849 0.12388 -0.13278 0.04322 0.02758 -0.16644 0.00383 -0.04022 -0.01818 0.15196 0.03093 0.01638 0.04068 0.02691 -0.00175 -0.1001 -0.00064 -0.11603 -0.03561 0.01088 0.00168 0.04027 -0.12643 0.01773 -0.09119 0.02225 0.034 0.10297 0.00131 -0.10566 -0.01875 0.09722 0.09836 -0.09334 -0.12454 -0.03687 0.10762 0.06661 -0.11492 -0.04748 -0.11532 0.14211 0.01538 -0.06353 0.16175 -0.16448 0.13615 -0.10769 0.13412 0.00934 0.15334 -0.07622 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
ò	-0.09515 -0.05115 -0.03226 0.00834 -0.15403 -0.14737 -0.01759 0.09669 -0.13747 -0.01202 -0.01442 -0.00051 0.1251 -0.05277 0.17258 -0.02566 0.0524 0.01622 -0.15673 0.16371 0.03338 0.16223 -0.08095 -0.01403 -0.0126 0.14812 0.12272 -0.12131 -0.02283 0.06242 -0.06447 -0.10282 -0.13241 0.1015 0.10491 -0.16332 -0.11086 -0.00343 -0.06068 0.17194 -0.09783 0.00322 -0.08661 0.11386 0.07676 -0.16123 -0.0136 0.1643 0.16827 -0.15599 -0.03077 0.02501 -0.04111 -0.10515 -0.14535 -0.12501 -0.06604 -0.06361 -0.10274 0.16124 0.02478 -0.05708 0.0439 0.14647 0.13195 -0.03924 0.04763 0.06229 -0.04169 -0.01587 -0.05953 -0.05691 -0.00249 -0.15457 0.12618 -0.02813 -0.10862 0.04649 0.15574 -0.09797 -0.11636 0.05213 0.04473 0.14935 -0.16465 0.16863 0.10774 -0.16117 -0.08939 -0.13943 0.06255 0.07922 0.07043 0.12552 -0.09837 0.16261 0.00759 -0.04921 -0.16783 0.02073 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
v	0.05778 -0.08704 0.1545 0.04936 0.0744 -0.08846 0.10709 0.08263 0.03513 -0.04761 -0.17254 0.13839 -0.09404 0.17075 0.14781 -0.08889 0.0147 0.14486 0.05336 0.09563 -0.08358 0.06272 -0.06835 0.10594 -0.14275 -0.10684 0.16339 -0.15857 -0.06678 0.17315 -0.05168 0.00367 0.1644 -0.13852 0.04422 -0.07302 0.03733 -0.04111 0.07791 0.01976 0.05078 -0.09396 0.04488 0.04504 -0.09802 -0.08646 -0.01548 -0.16978 0.01686 0.14458 -0.10446 0.07019 -0.14308 -0.11556 0.13065 0.08565 0.0046 0.01494 0.08865 -0.04254 0.0257 0.16213 0.13828 -0.04848 0.11772 -0.10883 -0.03784 -0.14402 -0.03891 0.07088 0.14151 0.1189 0.13548 -0.13137 0.11042 -0.08444 -0.05177 -0.00762 0.13195 0.16624 -0.00303 -0.00098 -0.14279 -0.12381 -0.03073 0.05568 -0.1228 0.16598 0.15508 -0.02469 0.13928 0.13397 0.05851 -0.0454 -0.02217 -0.0586 0.13885 0.06203 -0.05497 -0.04112 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
o	-0.11542 0.08513 -0.09727 -0.01883 -0.07138 -0.05737 -0.00107 0.03629 -0.16647 0.05321 -0.12712 0.05969 -0.03643 0.07642 0.06311 -0.13804 -0.16385 0.16032 -0.0083 0.09441 -0.13357 -0.16389 0.16252 -0.06728 -0.02031 0.13953 0.08007 0.10428 0.15444 -0.06874 -0.12036 0.13033 0.02712 -0.08755 0.15554 0.02408 0.15488 -0.02179 0.13116 0.125 0.16314 0.10611 -0.09224 0.1186 0.12837 0.00319 0.01672 0.04556 0.10608 -0.04969 -0.13337 0.1302 -0.03881 0.13005 -0.06811 -0.07302 -0.15194 -0.00494 0.08005 0.14071 -0.13129 0.15369 0.07484 0.12257 -0.05407 0.12754 0.11259 0.09212 0.02249 0.04086 0.03034 -0.08881 0.11741 0.11474 -0.15975 0.02505 0.04085 0.11284 -0.16764 0.12195 -0.10854 -0.14543 0.14678 0.1325 0.03119 -0.0259 0.0002 0.02695 0.09876 -0.11944 -0.11695 -0.07449 -0.16787 -0.13964 0.09947 0.16471 -0.01161 -0.02021 -0.14653 -0.13473 -0.13676 -0.01724 0.09676 0.13088 0.06993 -0.10654 -0.03266 -0.17173 -0.01285 0.10086 -0.13292 -0.11626 0.05026 -0.04362 0.14125 -0.12846 -0.17125 0.11128 0.04434 0.16281 0.02356 -0.15502 0.14424 0.06156 -0.0243 0.08828 -0.00954 -0.04865 -0.09804 0.08097 -0.05198 0.10667 -0.15364 0.10916 -0.0138 -0.03616 0.14019 0.08612 0.1679 0.03425 0.16696 -0.16687 -0.0708 0.02723 0.15117 0.09621 -0.11192 0.0257 0.12297 -0.16083 0.01033 0.12741 0.07855 0.13073 0.16267 -0.03458 -0.12635 0.1584 -0.0603 -0.06699 0.04092 0.09607 0.04202 0.11409 -0.02642 0.16301 -0.02046 -0.01051 -0.10644 0.07496 0.0417 0.10008 -0.05506 -0.15155 -0.03417 -0.06854 -0.06832 0.04942 -0.05563 -0.03664 0.06451 -0.09906 -0.00464 -0.13773 0.1363 -0.04816 0.08974 0.11472 -0.15031 0.16525 0.04608 0.11941 0.12279 -0.00031 -0.05892 -0.14483 -0.06316 0.15269 0.09454 -0.06269
