u	0.16771 -0.16466 -0.02181 -0.07107 -0.06432 0.08869 -0.173 0.11041 0.02217 0.13453 0.11477 -0.02906 -0.08513 0.03897 -0.05566 -0.09363 -0.06425 0.09229 0.06897 -0.12372 -0.02982 -0.12136 -0.17468 0.03471 -0.16563 0.10168 -0.16124 0.11091 0.1194 -0.07337 0.02348 0.04473 0.17236 0.12988 -0.07314 0.04241 0.15778 0.16297 -0.14969 0.07287 0.15797 0.10876 -4e-05 -0.10211 0.07862 -0.11302 -0.08597 -0.01994 0.07497 -0.01935 0.05501 0.07375 -0.04463 -0.01638 0.03824 0.15875 -0.11352 0.05029 0.16701 0.02812 0.05481 0.12478 0.07676 0.03918 0.12661 0.05107 -0.10015 0.14714 -0.11767 0.06104 -0.06187 -0.02113 -0.00574 -0.03324 -0.05953 0.08439 0.00271 -0.02551 0.16286 -0.03702 -0.02812 -0.07126 0.01638 0.0256 0.14884 0.10272 -0.05643 0.0044 0.04227 0.15067 0.03734 -0.0653 -0.02701 0.1609 0.023 -0.11927 0.08319 0.17211 -0.06736 0.00399 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
t	0.12974 0.00189 0.16772 0.04402 -0.04062 0.06393 -0.17071 -0.023 0.05196 0.10781 -0.05288 0.0846 -0.10577 -0.02326 -0.10581 0.03561 0.12507 0.11588 0.14331 -0.12819 0.15437 0.04561 0.08028 0.077 0.16705 0.07991 0.02809 -0.11078 0.12593 -0.14162 -0.02943 0.08828 -0.16779 0.15423 -0.11895 -0.07857 -0.0581 0.11815 0.07813 -0.15633 0.08014 0.17247 -0.08829 0.06407 0.05972 -0.09964 0.1082 0.1132 -0.11772 0.14411 0.08673 0.15385 0.07188 -0.13188 -0.09705 -0.0295 -0.09968 0.02448 0.10517 -0.05932 -0.08958 -0.13408 -0.03262 -0.12811 -0.10232 0.12287 0.03802 0.11374 -0.10482 -0.14207 0.15033 -0.15443 0.00133 -0.16954 0.03782 -0.00367 0.12678 0.10129 -0.0325 -0.1198 -0.07497 0.00455 -0.1027 0.17149 -0.14619 -0.15176 0.03799 0.10067 0.11013 0.05752 -0.10705 0.16548 -0.09688 0.17137 0.13438 -0.10135 0.03866 0.12037 -0.09831 -0.1587 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
-	0.11179 0.11096 0.16931 0.1716 -0.09622 -0.04391 0.01608 0.10215 -0.13202 -0.09307 -0.15406 0.14283 -0.06465 0.06135 -0.02477 0.01397 -0.07268 0.13478 -0.06866 -0.01495 0.01569 -0.16116 0.16154 -0.00427 -0.15117 0.10782 0.04765 0.09537 0.08163 0.05418 0.00485 0.14463 0.09505 0.16865 0.02808 0.14089 0.07243 -0.15768 -0.059 0.04923 -0.12571 0.05607 0.06474 0.16059 -0.0421 0.12808 0.15905 -0.10842 0.11915 -0.00916 0.07616 0.02774 -0.04838 -0.03779 0.08115 0.01846 -0.0757 -0.08978 0.03379 -0.10899 -0.06443 -0.04216 -0.08244 -0.04102 -0.08224 0.07675 0.09025 -0.05343 0.07613 0.17196 -0.16934 -0.04735 0.15937 -0.04686 0.10281 0.0856 0.03243 -0.02651 0.00115 -0.12743 0.11757 0.05955 0.12071 -0.16592 -0.0038 -0.09311 0.0386 0.01638 0.06917 0.03582 -0.09545 -0.12982 -0.03835 -0.06009 0.17172 -0.12493 0.01689 -0.06137 0.01031 0.03531 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
g	0.12347 -0.01735 -0.15521 0.13897 0.05782 0.099 -0.03562 -0.15368 0.12101 -0.12275 0.0944 -0.07798 -0.08968 0.05876 -0.14741 0.1548 -0.12453 -0.0797 0.10276 0.05856 0.13039 -0.10619 -0.07991 -0.16369 -0.15823 -0.14839 0.0723 -0.02251 0.05248 -0.02487 -0.16294 0.17106 -0.05036 -0.09656 0.15932 0.13783 -0.04675 -0.13396 0.12503 -0.12968 0.00294 0.0725 -0.16145 0.02279 0.04463 0.05417 -0.0098 0.06435 0.00952 -0.07233 -0.16169 -0.06141 -0.084 0.12691 -0.03438 -0.10773 -0.00758 0.02308 -0.11781 0.15033 -0.15729 -0.1519 -0.05562 -0.02696 0.16326 -0.03512 -0.02631 -0.09386 -0.10254 0.05704 0.03604 0.01279 0.06503 0.10605 -0.03609 0.01625 -0.082 0.01261 -0.03599 0.0489 -0.05058 -0.09141 -0.06102 -0.00396 0.09555 0.13733 0.1481 0.0898 0.13244 0.17222 -0.02578 0.09147 0.16457 0.16848 -0.06391 0.09829 0.05942 0.12891 -0.04671 0.08493 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
h	-0.1199 -0.14353 -0.14009 0.05085 0.1323 -0.07184 0.09912 0.02579 0.02829 -0.14239 -0.16791 -0.09414 -0.09243 0.08253 -0.08592 -0.03472 0.15158 0.08252 0.10687 -0.00544 -0.06394 -0.1342 0.1255 0.12188 -0.13296 -0.10441 -0.06671 -0.08886 -0.05782 -0.17258 0.10934 0.07995 0.02696 -0.01634 -0.06853 -0.03388 -0.09022 -0.06254 -0.1285 0.118 0.0258 -0.11795 0.00786 -0.06567 -0.01549 -0.09841 -0.15109 -0.02867 0.06074 0.06006 -0.00863 0.1245 0.16858 -0.06773 -0.13592 -0.16163 -0.14734 0.05634 -0.05702 -0.14275 0.12595 0.11832 -0.06408 0.1038 -0.16982 0.08724 -0.11441 -0.14736 -0.02205 -0.14543 -0.02358 -0.11746 -0.00049 -0.01422 -0.07529 -0.1389 0.01489 -0.04472 0.04429 -0.07991 -0.07355 0.03805 0.0798 -0.07673 -0.03306 -0.00855 -0.00461 -0.07575 0.09842 0.05948 0.09616 -0.08545 0.1395 0.04291 0.08653 0.02634 0.07615 0.17017 -0.09305 0.11697 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
v	-0.16839 0.02488 0.13451 -0.1258 -0.17243 -0.08373 -0.02627 -0.04356 0.07779 -0.16047 -0.00063 -0.16648 -0.10328 0.15755 0.14096 -0.09018 0.08214 -0.00941 0.1538 0.0822 0.04663 -0.08416 -0.01161 -0.06491 -0.09404 -0.00993 0.13524 0.10114 0.10364 -0.02803 -0.13559 -0.01884 0.02202 -0.16543 0.12396 -0.02662 -0.1461 0.06129 0.13405 0.02636 -0.1244 -0.04633 0.12311 -0.14447 -0.04728 -0.04055 0.07318 -0.03154 -0.13448 -0.15969 0.13012 0.00162 0.12951 -0.02328 -0.061 0.06042 0.00543 -0.16104 -0.12763 0.03454 -0.16955 0.10309 0.14581 -0.14251 -0.07129 -0.12582 0.08271 -0.09133 -0.1598 0.16452 0.1658 0.1572 -0.0595 -0.12766 -0.09283 -0.06772 -0.12032 0.13131 0.1398 0.11774 -0.01024 0.11214 0.10422 0.16272 -0.05503 0.14474 -0.00872 -0.09308 0.10311 0.02621 0.16006 -0.1367 -0.03185 0.14546 0.0251 -0.05612 0.1681 0.16159 -0.07087 0.0394 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
k	0.04601 -0.09067 0.00248 0.11743 -0.13082 0.05736 0.00642 0.00363 0.14387 0.02022 0.06213 0.01695 0.05957 0.16289 0.1254 0.15288 -0.07053 0.14259 -0.07733 0.09913 0.10303 -0.04225 -0.02224 -0.16713 -0.04738 0.04158 -0.00167 0.15013 0.15603 -0.107 0.10426 -0.04923 -0.09893 -0.08396 -0.04922 -0.14158 -0.13781 0.14312 0.14433 0.11457 -0.08225 -0.03363 0.02497 -0.00592 0.03223 -0.10443 0.0629 0.04875 0.16713 -0.02973 0.10638 0.10276 0.05875 -0.00632 -0.08995 -0.04676 -0.1471 -0.04012 0.16563 0.02845 -0.03831 -0.04197 -0.07402 0.00255 -0.08817 0.04057 -0.16853 -0.02924 -0.13382 -0.07852 -0.13841 -0.15073 0.08435 0.0167 0.12167 -0.15274 -0.08177 -0.04505 -0.02805 0.13249 0.12152 -0.07495 0.09868 0.17026 -0.06472 0.08844 0.06436 0.09827 -0.0091 -0.14018 0.07422 0.16734 0.07123 -0.10927 -0.03042 -0.11626 -0.08408 0.1527 -0.16621 0.00453 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
w	0.00229 0.102 -0.05843 -0.01337 -0.16077 -0.0913 -0.12205 0.067 0.0375 -0.10974 -0.11044 0.12316 -0.039 0.14704 0.12062 -0.08981 0.05014 -0.05274 -0.11387 -0.01066 -0.0114 0.15925 -0.14144 0.11467 -0.07271 0.05819 -0.04564 -0.07459 0.04233 -0.04846 0.1407 -0.05021 -0.07426 0.08097 0.02688 0.00331 -0.05474 -0.03885 0.0019 -0.01084 -0.16363 -0.01883 0.06927 0.03078 0.05474 0.05444 0.05522 -0.12127 -0.13317 0.11534 0.12312 0.05528 0.00391 0.05739 0.15977 -0.13562 -0.01116 -0.01702 0.11141 0.03973 -0.00229 0.11136 0.09556 0.15409 -0.03689 0.13713 -0.05766 -0.11667 -0.05471 0.15414 0.15584 -0.12632 -0.13459 0.14464 0.04947 0.0783 -0.10897 -0.07691 -0.17137 0.05735 0.11161 -0.08524 -0.09961 -0.11523 0.08129 0.05619 -0.02577 -0.00601 0.11871 -0.02209 -0.04423 -0.11051 -0.16342 -0.0145 -0.06772 0.0854 -0.0965 0.09226 0.15402 -0.12635 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
o	-0.02105 0.10059 0.00574 -0.14214 -0.11276 0.03345 0.11536 0.01719 -0.11193 -0.08881 -0.07593 -0.07805 -0.00497 -0.00365 0.03398 0.06623 0.12544 0.16251 -0.00908 0.16459 -0.09225 -0.01072 -0.17529 0.06321 0.07038 0.06893 0.15594 -0.11537 -0.1482 -0.08408 0.1027 -0.09549 0.07446 -0.13643 0.05242 -0.08473 -0.13537 -0.02054 0.1146 0.06237 -0.14434 -0.01812 0.16982 0.05897 0.02089 -0.03539 -0.07293 0.1641 0.04842 -0.01829 -0.11074 0.1171 0.07225 0.11551 0.04175 0.16809 0.11057 -0.13157 -0.04806 -0.13308 -0.14075 -0.08654 0.1172 0.06862 -0.01444 0.02097 0.06774 0.04368 0.13751 -0.07704 -0.17136 -0.12521 0.07305 -0.01528 0.03211 0.13478 -0.03249 -0.10805 -0.16105 -0.01755 -0.00551 0.10082 -0.08932 -0.05453 0.04021 0.00051 0.13201 0.15845 0.01097 -0.13042 0.09827 -0.08062 0.03086 -0.08459 0.14525 0.06961 -0.02418 0.10277 -0.04389 0.04678 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
ȳ	0.11964 0.0153 0.13736 0.04013 0.15073 0.08875 -0.06997 -0.02546 0.06786 0.00563 0.03522 -0.17078 -0.15828 -0.05772 0.05739 -0.11617 -0.15462 0.12583 -0.08393 0.0378 -0.16288 -0.12428 -0.00871 0.00797 0.05013 0.02837 -0.08579 0.02174 0.00485 0.04395 -0.12408 0.11554 0.0903 0.09688 -0.07566 -0.09939 -0.13448 0.1619 0.16864 0.00924 -0.09354 -0.07083 -0.09923 0.12552 0.04276 -0.16289 -0.16038 0.03064 -0.03014 0.14932 0.05725 0.11285 0.01568 0.12874 0.14212 -0.11478 -0.10253 0.0663 0.12001 -0.12316 0.16367 0.06081 -0.04515 0.08626 0.12885 0.03373 -0.15204 -0.05904 0.14046 0.00527 -0.06849 -0.01702 -0.12078 0.02689 0.0711 -0.061 0.1624 0.10044 -0.15225 0.10923 0.00139 -0.0376 -0.13312 -0.08426 -0.14249 -0.09262 -0.03766 -0.05073 -0.08242 0.07057 -0.02888 0.14947 -0.02839 -0.14747 -0.00316 0.14586 0.11131 0.06118 0.08571 -0.01949 -0.02486 -0.0488 0.1494 -0.00076 -0.05513 0.06445 -0.15427 -0.03074 0.04849 0.16252 -0.02593 -0.0447 0.14964 0.07951 -0.08607 0.02196 0.16694 -0.03979 0.04756 0.13632 0.12752 -0.17011 -0.06385 -0.0714 -0.16634 -0.05344 -0.03204 -0.16798 0.11118 0.12335 -0.11204 -0.08759 -0.00262 0.05272 -0.0518 0.09369 -0.03534 0.09175 0.17224 -0.05679 -0.10319 0.12402 -0.00949 0.05857 0.06967 -0.09508 0.1499 0.0052 0.10537 0.03897 -0.14455 0.03007 -0.10451 -0.1345 -0.11524 0.06588 0.08182 -0.13732 0.14094 -0.04195 0.14612 0.02111 0.00735 0.16167 0.04861 0.05945 0.02833 -0.15558 -0.12179 0.08716 0.14366 0.01124 0.07813 0.09068 0.0154 0.04052 0.09825 0.05331 -0.07532 0.14764 -0.16474 -0.062 0.03363 0.03745 -0.15415 -0.14209 -0.02916 -0.00025 0.04136 0.09634 0.17223 -0.00415 0.0841 0.03137 0.0707 0.06694 0.15161 -0.16845 0.14929 -0.1681
