u	0.03214 0.14841 -0.0033 0.0169 -0.15164 -0.00549 0.11902 -0.03212 -0.03675 -0.08285 -0.15856 -0.0409 -0.12702 0.07902 -0.04756 0.14892 -0.12936 0.08866 -0.0926 -0.16853 0.08245 -0.00048 0.06174 -0.13487 0.15533 0.03318 0.10311 0.11205 0.12995 0.04899 -0.05707 -0.14857 0.07023 0.06493 -0.13617 -0.01855 0.14444 0.12238 -0.02125 -0.04306 0.07796 -0.01134 0.11562 -0.01193 -0.07897 -0.0281 -0.12439 -0.17157 0.0113 -0.07451 0.00576 -0.01192 0.11207 0.0092 0.15528 -0.03921 0.0893 -0.06682 -0.0172 0.11168 -0.15438 -0.13448 0.06015 0.07117 -0.01726 -0.13831 0.06285 0.11523 0.01698 -0.07158 0.09977 0.04556 -0.14375 0.02068 -0.10683 0.03616 0.00248 -0.12309 -0.1616 -0.1414 0.06403 0.14001 0.15934 0.01942 0.1158 0.04388 0.13461 0.0251 0.13334 0.16369 0.02148 0.12904 -0.1232 -0.07802 0.12756 -0.11933 -0.01842 0.00831 0.00362 0.08962 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
é	0.03267 0.17276 -0.11374 0.04823 -0.17308 -0.06539 0.12115 -0.15528 -0.01812 -0.03918 -0.08924 -0.14828 -0.0678 0.11251 0.13387 0.00872 0.11142 0.16258 0.04266 -0.04837 0.0762 0.09579 -0.01235 -0.04213 0.05728 -0.0647 -0.04845 -0.08785 0.09936 -0.10679 -0.00884 -0.06752 0.15572 0.13053 0.01667 -0.00843 -0.12465 -0.13397 0.08816 -0.13462 -0.08593 0.131 -0.0895 0.13433 -0.10563 -0.10292 -0.09982 0.04924 -0.08412 -0.16336 -0.12835 -0.12958 0.02886 -0.12417 -0.14328 0.07595 -0.09972 -0.14374 0.03281 0.1143 -0.066 -0.08159 -0.08052 -0.13809 0.10923 -0.10861 -0.03269 -0.14316 -0.07746 0.16526 -0.06823 -0.03286 0.08749 -0.16208 -0.13826 0.09863 -0.06638 0.07545 0.14525 0.12213 0.16747 0.05685 0.16685 0.01325 -0.05375 0.06215 -0.12987 0.06197 0.06382 -0.0558 -0.12408 -0.14777 -0.00977 -0.08385 0.0543 -0.00979 0.1528 -0.16619 0.10933 0.11627 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
t	0.04012 -0.01411 -0.0694 0.07361 -0.04723 -0.01513 0.16965 -0.02397 0.10546 0.14627 -0.02407 0.17033 0.02972 0.01942 -0.08655 0.05211 -0.1325 0.13632 -0.09365 -0.14826 -0.01363 -0.16862 -0.16019 -0.04832 -0.05336 0.10898 -0.00916 -0.12482 0.07134 0.10333 0.06074 0.12031 0.15457 -0.15545 -0.16446 0.11915 -0.00208 0.08997 0.1545 0.05568 -0.15425 0.16737 0.11807 -0.17114 -0.11996 0.09123 0.07155 -0.16881 -0.0979 -0.00366 0.07267 -0.05502 -0.10288 0.10864 -0.03757 0.06848 -0.08566 0.12779 0.0485 -0.16253 -0.16062 0.12917 0.1008 0.04734 0.10329 0.16002 0.11995 -0.08791 0.05343 0.1604 0.00551 0.01089 0.04562 -0.17218 -0.06984 0.06954 -0.07543 -0.00326 0.1356 0.01245 0.077 -0.11076 0.11686 0.0953 0.06239 -0.01365 0.03075 0.07179 -0.01879 -0.02048 0.02426 0.00706 -0.08631 0.14096 0.16153 0.1406 -0.08405 0.14266 0.04247 -0.08407 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
-	-0.14939 0.06765 0.13977 -0.0203 -0.15477 -0.12501 -0.02085 0.01201 -0.17132 -0.13595 0.09435 -0.15734 0.145 0.02267 0.16023 -0.03722 0.08488 -0.08061 -0.05772 -0.04681 0.11316 -0.06279 -0.12096 -0.08638 0.08655 -0.04477 0.01734 0.06021 0.0178 -0.16887 0.02781 0.06475 -0.00966 -0.09642 -0.15108 0.14359 -0.00303 -0.15021 0.00611 -0.09543 0.14236 -0.10648 0.0216 0.02857 0.03332 -0.15443 0.08239 -0.07663 0.13549 0.15388 -0.05052 0.05747 0.10778 0.05187 -0.02485 -0.15053 -0.04144 -0.09025 -0.10902 0.05288 -0.08195 -0.13462 -0.0685 -0.08006 -0.10033 0.12389 0.14363 0.12565 0.01114 0.12648 0.03949 0.14558 -0.11507 -0.08245 0.07153 0.0531 -0.10589 0.11882 -0.03109 -0.16424 -0.08451 -0.15218 0.14209 -0.14481 -0.04546 0.14309 0.11958 -0.10716 0.1685 0.11234 0.12884 0.11041 0.04699 -0.16603 0.11591 0.10128 0.09927 -0.11509 -0.17177 -0.03847 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
g	-0.06266 0.08499 0.16051 0.05647 -0.11199 -0.04384 -0.10126 -0.09013 -0.08389 0.06258 -0.04717 -0.09217 0.02377 -0.0707 0.08594 0.0126 -0.13923 -0.03117 -0.16304 0.15123 -0.1355 -0.01309 -0.06207 0.13317 -0.02416 0.01167 0.07813 0.11761 0.04949 0.00273 0.07506 -0.00898 0.13939 0.1163 0.17249 0.13698 -0.15621 0.11633 0.10618 0.16765 0.08043 -0.0075 -0.16735 -0.07203 -0.0768 0.04244 -0.00476 0.06781 -0.08832 0.14598 -0.15672 0.08285 0.08406 0.0277 -0.0265 0.12403 -0.03296 -0.00396 -0.0175 -0.17014 -0.01716 0.08666 -0.07925 0.09218 -0.03657 0.14051 0.14904 0.15347 -0.14871 -0.04515 0.0417 -0.1421 0.0922 -0.08098 -0.12735 -0.15563 -0.01932 0.16681 0.09481 0.06249 0.14713 0.10354 0.1709 0.02492 -0.04197 0.1527 -0.02802 -0.07715 -0.06221 -0.04783 -0.08481 0.02623 -0.13682 -0.03681 -0.04805 0.14088 -0.01196 -0.0691 -0.00401 -0.01234 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
ç	0.0278 0.1563 0.08096 0.14145 0.02313 -0.10299 0.13842 -0.0877 0.12147 0.1522 -0.13985 -0.13638 -0.02551 -0.12867 -0.03715 -0.10338 -0.11718 -0.14387 0.11438 -0.11035 -0.13031 0.16092 0.00693 0.03907 -0.01915 0.02489 -0.00394 -0.08392 -0.16886 -0.13908 0.0184 -0.07617 0.07227 0.08206 -0.01911 0.09838 -0.0734 -0.04333 -0.1212 0.03791 0.05498 0.03319 0.02865 0.11224 -0.02219 -0.05798 0.03567 -0.02183 0.13327 -0.15909 -0.09354 -0.15343 -0.16106 -0.08204 -0.14051 0.14846 -0.09318 -0.09264 -0.01358 0.08081 -0.06608 -0.13097 0.04698 -0.12883 -0.11352 -0.14703 -0.11772 -0.09967 -0.0551 0.12667 -0.02028 0.01864 0.06875 0.10772 0.15785 -0.07364 0.04269 0.14292 0.08291 0.12123 0.02781 0.11838 -0.1613 0.02764 0.16125 -0.02482 0.06142 -0.15906 -0.04302 -0.05662 -0.04947 0.13714 -0.06919 0.02905 -0.1672 0.14662 -0.06908 0.00448 -0.11986 0.0777 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
h	0.01693 0.12644 0.08256 -0.16519 0.1098 -0.05007 -0.07804 -0.13944 0.05133 -0.16782 -0.00089 -0.14658 0.03141 -0.00171 -0.0025 -0.07207 0.00808 -0.0553 0.09594 -0.1068 0.12901 0.0627 -0.1482 0.00903 0.07343 0.0818 -0.16005 -0.11628 0.08555 0.05622 -0.07881 0.06286 0.16151 -0.0663 0.16051 0.13661 0.03376 0.06068 0.02837 -0.11826 -0.06661 0.10439 -0.14213 0.06373 -0.00876 0.00216 0.11304 -0.14894 -0.00566 0.04165 -0.14788 0.01454 -0.00714 0.16787 0.06111 -0.08161 -0.03959 0.12527 -0.14789 0.04452 0.14995 -0.13802 0.08371 -0.11129 -0.00954 -0.07871 0.08899 0.10146 0.10419 0.09696 0.12732 0.11198 -0.04264 -0.12354 0.00075 0.07818 0.08938 0.15436 0.05613 0.15259 -0.15871 -0.00447 -0.02448 -0.08432 0.00821 -0.02902 0.02213 0.03987 -0.13642 0.10345 0.14508 -0.0364 0.1179 -0.09789 -0.0784 0.1629 0.1381 0.14736 0.13244 0.13546 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
v	0.04779 -0.14864 -0.13308 -0.16724 0.02728 0.0664 -0.09712 0.09767 0.08509 0.0053 0.17278 0.02228 0.03239 0.073 -0.02781 0.11138 -0.03936 0.07651 0.09008 0.1685 0.0787 -0.05297 -0.12119 0.08843 -0.10959 -0.09396 -0.12915 -0.08973 -0.0515 0.0575 -0.13352 -0.07181 -0.08413 -0.06937 0.08641 -0.12356 0.11072 0.02256 0.11912 -0.09727 0.09692 0.02288 0.15789 -0.04932 -0.02061 -0.15654 0.06792 0.14029 0.12083 -0.11199 -0.09804 -0.09766 -0.0032 -0.14345 0.15454 -0.0386 0.15079 -0.04491 0.11025 -0.05634 -0.01631 -0.09882 0.16692 -0.17145 0.11752 -0.10394 -0.08257 -0.13145 0.05985 -0.16419 0.04074 0.01067 -0.03896 0.02977 0.15987 0.16369 0.0474 -0.02328 -0.06215 -0.03362 -0.06833 -0.05349 0.13228 0.12909 -0.03581 -0.1695 -0.13024 -0.01335 -0.111 0.0399 -0.07615 0.11284 0.15009 -0.07807 -0.07207 0.08823 0.14673 -0.12629 0.09533 -0.03302 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
o	0.13859 0.14618 -0.05606 0.01 -0.12667 -0.01762 0.02285 -0.01976 0.01718 -0.14697 -0.1693 0.01274 0.16032 -0.09391 0.0548 -0.06861 -0.03894 -0.04709 -0.0842 -0.14501 -0.07557 0.04918 -0.07796 0.04982 0.06786 -0.07868 -0.16015 -0.03819 -0.06808 -0.1082 0.00531 0.00352 0.09731 -0.10069 0.07827 0.09982 -0.0119 -0.12852 0.16312 -0.13956 -0.0701 0.02352 0.14159 0.02936 0.11234 -0.02393 0.10196 -0.0539 -0.02722 0.07283 -0.01237 0.02564 -0.16679 -0.15145 -0.13783 0.04452 -0.14098 -0.09987 0.15244 -0.08173 0.01145 0.13485 0.12376 -0.01749 -0.04582 -0.15603 -0.03391 0.0578 0.11295 -0.02126 0.05861 -0.00489 -0.12406 -0.08604 -0.05577 0.04811 -0.09907 0.10301 0.05951 -0.15765 0.06935 0.01799 0.08534 -0.01325 -0.14166 0.03497 0.0492 -0.16636 0.02955 -0.0208 0.00054 0.07375 0.03051 -0.03828 0.06775 -0.11902 -0.02083 -0.07883 0.07407 0.06118 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
ă	0.10948 0.00178 -0.1078 -0.11329 0.0629 0.09314 0.11295 -0.13071 -0.14175 0.13252 0.01666 -0.0328 0.08905 0.01118 -0.05504 0.14381 -0.16292 -0.06511 -0.11645 -0.12531 -0.05663 0.01966 0.14353 0.13096 -0.03899 -0.1676 -0.04044 0.1405 -0.01164 -0.06534 -0.1252 0.04975 -0.15311 0.16716 0.00103 -0.04619 -0.13955 0.08312 -0.02647 0.05701 -0.03222 0.0788 0.01453 0.06841 0.12597 -0.07505 0.05666 -0.00954 0.12838 0.12595 0.10684 0.13355 -0.11371 0.11704 0.0255 0.02283 0.07075 0.01863 0.17014 -0.13783 -0.04031 -0.13305 -0.08348 0.02909 -0.0709 -0.01422 0.10456 0.15546 0.09864 -0.05711 0.05708 -0.07061 -0.07845 -0.15943 0.01429 -0.17128 -0.0737 0.1336 -0.1097 -0.03786 0.15316 0.11739 -0.03903 -0.12648 0.12818 -0.16856 -0.06349 0.0893 0.15417 0.04347 -0.03288 -0.15359 0.01639 0.0048 0.00582 0.06563 -0.08757 0.16382 0.09027 -0.09574 0.00057 -0.08689 -0.13913 -0.13792 -0.14386 0.07631 0.0441 -0.02 0.08453 -0.10789 0.08149 0.061 -0.15524 -0.01363 0.00662 -0.10689 0.14857 0.12659 -0.10355 0.09937 0.05414 -0.0819 -0.14794 -0.01752 0.05948 0.15092 0.00623 0.13009 -0.05848 0.0646 0.05556 -0.16161 0.07436 0.00885 -0.00441 0.03245 -0.06575 -0.07202 0.14722 0.02136 -0.00811 -0.07794 0.02874 -0.04166 0.14076 0.07782 -0.01675 -0.07922 -0.16453 -0.00681 -0.16737 0.08815 0.11904 0.12011 0.13904 -0.01778 -0.02522 -0.00876 -0.07127 0.00839 0.12318 0.12508 -0.0448 0.10846 -0.00274 -0.05728 -0.1285 -0.15795 -0.004 -0.08348 0.02271 0.14473 0.12829 0.09527 0.03529 -0.14893 0.08361 0.05064 0.04344 -0.10208 -0.03717 -0.02806 -0.10127 0.14345 0.01294 0.07804 -0.02267 0.16176 0.11152 -0.09623 -0.10706 0.12015 -0.05948 -0.03295 0.14884 -0.05163 0.11556 -0.06483 0.1174 0.1168
