ţ	-0.06823 0.12372 0.07979 -0.06989 -0.00563 0.09265 -0.07306 0.12309 -0.08336 0.13961 -0.14703 -0.09482 -0.15397 0.08243 -0.02278 -0.00822 -0.08217 0.10997 0.08574 0.06907 -0.09382 0.11954 0.10771 -0.09397 0.05682 0.09036 -0.01595 0.00462 0.04642 0.06882 0.04814 0.14515 0.01679 0.09416 0.15431 -0.16599 0.16318 0.02585 0.0949 -0.02738 -0.13335 0.10107 -0.10169 0.09577 -0.13946 0.09802 0.02736 -0.11886 0.08822 -0.02633 0.08536 0.09128 -0.0851 -0.08721 0.06306 -0.03928 0.05851 -0.01109 -0.16867 0.05012 -0.15179 0.01749 -0.00458 -0.09526 0.13617 0.10568 0.13054 -0.08253 0.16689 0.12192 0.12809 0.016 -0.10088 0.1191 0.01937 -0.12163 0.02342 0.13138 -0.03168 -0.06453 -0.06801 0.02544 -0.14126 -0.05733 0.02733 0.17253 0.0114 0.07988 -0.05794 -0.13768 -0.16597 0.15432 -0.04053 -0.08926 -0.08489 0.07155 -0.10206 -0.05973 0.02826 -0.16596 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
u	-0.09936 0.05652 -0.16933 -0.09757 -0.11385 0.10197 -0.13815 0.15632 0.03144 -0.12372 -0.17205 -0.12014 0.10026 -0.06531 0.09568 0.02215 -0.1386 0.15101 -0.1399 0.13293 0.12807 -0.05371 0.00671 0.17208 -0.08619 0.09994 0.09966 -0.15363 -0.08124 0.15684 0.09859 0.16018 0.14427 -0.09564 0.00683 0.12379 0.03132 0.11924 -0.16411 0.0165 0.00773 0.08018 -0.03801 0.16265 0.11422 0.08205 -0.01256 -0.02893 0.06668 -0.10492 0.07211 -0.07769 0.10964 0.04219 -0.03439 0.12538 -0.14234 0.14386 0.16974 0.16348 -0.15512 0.05735 0.09438 -0.16382 0.10754 -0.10248 0.05066 0.08676 0.09475 0.05915 0.08771 0.15937 0.03519 -0.13827 0.08046 -0.16709 -0.09828 0.03733 -0.08015 -0.00023 -0.05465 -0.03471 0.05292 -0.06997 -0.07184 -0.0816 0.11343 0.15219 -0.01203 0.14249 -0.14099 0.14046 -0.00968 -0.13963 -0.06502 0.11476 0.12553 -0.03935 -0.02064 -0.04044 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
t	-0.07962 -0.15652 -0.10105 -0.04728 0.01038 -0.00973 0.03447 -0.07086 0.01291 -0.14182 0.0664 0.15878 -0.07469 -0.15132 0.0462 -0.14281 -0.00788 0.00179 0.16156 0.1418 -0.11761 -0.08964 0.06691 -0.03663 0.0385 0.08838 0.09042 -0.1375 -0.12811 0.06829 -0.04908 -0.02021 -0.02849 0.12612 -0.06002 -0.06777 -0.03607 -0.09743 0.00893 -0.03599 -0.12666 0.09313 0.09076 -0.147 -0.11353 -0.15808 0.0867 0.0827 -0.08098 0.01733 0.00553 -0.17006 -0.0737 0.00235 0.09739 0.03652 0.13747 -0.09775 0.0294 0.0542 -0.098 -0.15351 0.08003 -0.03879 0.10551 -0.05192 -0.13359 -0.03189 0.16695 -0.12516 -0.12775 0.01614 0.14277 0.15744 -0.12862 -0.12654 -0.15553 -0.13238 -0.13436 0.1669 0.05114 0.06508 -0.0557 -0.13292 -0.13879 -0.0664 0.04172 0.16945 -0.15589 -0.06201 0.05948 -0.02045 -0.16577 -0.00443 0.01375 -0.03425 -0.06776 -0.13546 0.02718 -0.16123 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
-	-0.07393 0.14697 -0.1484 0.03873 -0.05377 0.09376 0.02857 -0.05766 0.05387 -0.11498 0.11826 0.12769 -0.14253 0.10229 -0.06802 -0.01101 -0.12246 0.16984 0.06623 0.16367 -0.09821 0.0276 -0.07063 0.04389 -0.07252 0.13064 -0.15535 0.01492 -0.16825 -0.12283 0.15152 0.14326 0.14675 -0.10206 0.10003 -0.03005 -0.05674 0.09379 0.10699 -0.00621 -0.13092 -0.1175 0.12578 0.03429 0.01564 -0.08099 -0.06652 0.01669 0.16211 -0.05793 -0.11791 0.03288 -0.01251 -0.13023 -0.13223 -0.11143 -0.0993 0.0682 0.11103 -0.16006 -0.1328 0.04841 -0.16692 -0.15492 0.06824 -0.06517 -0.01979 -0.14951 -0.01842 0.02096 0.03101 -0.00292 0.17251 0.08917 -0.0373 -0.102 -0.02728 -0.04967 0.16863 0.16357 0.08319 -0.011 0.14085 0.02864 0.04358 -0.11357 0.07176 0.10768 0.15313 0.05723 0.02521 -0.14686 -0.1637 0.00321 -0.05425 -0.13122 -0.15577 0.09131 -0.12138 0.07717 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
g	0.0048 -0.00511 -0.06976 0.04907 0.07833 0.15498 -0.16402 -0.04398 0.16751 -0.01239 -0.17147 -0.02242 0.09447 -0.09152 0.15154 -0.02005 0.03247 -0.01871 -0.01903 -0.1289 -0.12833 -0.16997 0.01392 0.08443 0.04341 0.08752 -0.04456 0.07335 -0.00284 0.12033 0.0124 -0.00524 -0.15112 0.00132 0.02212 0.053 -0.01799 0.03268 0.09927 -0.0045 -0.15714 0.07721 0.07338 -0.04814 -0.099 -0.05789 -0.03671 -0.0428 0.03471 0.11126 -0.02376 -0.03217 -0.14136 -0.09044 -0.04536 -0.08875 0.01902 0.12437 0.156 -0.08625 0.01697 0.02721 0.05327 -0.04463 0.07926 -0.06857 -0.15996 0.07805 -0.0703 -0.13756 0.11836 0.13114 -0.05223 -0.02851 0.05112 0.16383 0.16927 -0.13612 0.05033 -0.1505 -0.12161 0.09626 -0.14024 0.11873 -0.07636 -0.07615 0.11574 -0.06218 0.13196 0.15983 -0.00399 0.10827 0.1556 -0.09258 0.05181 -0.06224 -0.00613 0.02458 -0.17187 0.14156 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
h	0.14857 0.1284 -0.16454 0.06481 0.11361 0.02917 -0.02629 0.10191 0.17033 0.14415 -0.05079 -0.01634 -0.02996 -0.02699 0.171 0.08045 -0.00672 -0.06376 0.06273 -0.09611 0.12579 0.02334 0.12303 -0.07027 0.00371 -0.17189 0.1028 0.04187 -0.0581 0.1204 0.084 -0.07575 -0.08045 -0.1411 0.10249 -0.135 -0.14121 0.01155 0.06956 0.16072 -0.10176 -0.14599 0.06341 -0.07247 -0.10394 0.05552 0.00706 -0.13276 0.07528 0.00285 0.04305 -0.08454 -0.01613 -0.03726 0.05473 0.10724 -0.07145 -0.01864 -0.0924 0.02718 0.0799 0.04688 -0.06791 0.15968 0.09593 0.16639 -0.14748 0.16477 -0.16221 -0.14264 0.13644 -0.13868 -0.08853 -0.03134 0.05964 0.05754 -0.11281 -0.09071 0.10602 0.06836 0.09982 0.14211 0.17302 -0.11135 -0.13585 -0.15066 -0.14986 0.0444 0.06676 -0.01503 0.012 -0.16564 0.03669 0.11575 0.02299 -0.07471 -0.00879 0.01086 0.11695 0.1147 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
v	-0.13063 -0.08544 -0.14082 0.16849 -0.05574 -0.05967 0.16292 -0.08568 0.04299 0.10126 0.08226 -0.0916 -0.1681 -0.00633 0.15882 -0.0999 -0.03312 0.12188 0.14036 -0.07522 0.14497 -0.01201 0.02443 -0.16074 0.14963 0.01827 0.10596 0.14477 -0.12904 0.0882 -0.0049 -0.01904 0.07164 0.14884 -0.00032 0.03623 0.07879 0.10902 -0.00107 0.14446 0.0078 -0.15749 0.12161 -0.0339 -0.14371 -0.10624 -0.08445 -0.05159 -0.09254 -0.10422 -0.09696 -0.07694 -0.15499 0.01281 -0.14279 -0.05988 -0.05952 -0.11054 -0.03021 -0.06612 -0.07588 -0.11563 -0.00839 -0.17152 0.13346 0.12162 0.11775 -0.03773 -0.15053 0.08054 0.03648 0.00993 -0.02462 -0.08167 -0.06079 -0.12316 0.15341 -0.05342 0.14532 -0.03174 -0.1325 0.03278 0.04983 0.14322 -0.0263 -0.03447 0.14946 -0.03249 -0.15892 0.13127 0.01971 0.07335 0.01921 0.00268 0.06935 -0.04451 0.16744 -0.16959 -0.1171 -0.10021 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
o	0.09296 0.03851 -0.08554 0.07069 0.12972 0.10507 -0.12543 0.05992 0.07826 -0.14495 -0.025 -0.02604 0.14663 -0.12447 0.0128 -0.05454 -0.04158 0.16708 0.06274 -0.16118 0.14812 -0.16668 -0.13184 0.1214 0.041 -0.05985 -0.11037 -0.10235 0.03001 -0.15802 -0.09512 0.09942 -0.11414 -0.11909 -0.01271 0.1004 -0.11217 -0.10677 -0.16878 0.01085 -0.173 0.03382 -0.16146 -0.13307 0.11312 -0.00592 -0.0924 0.10713 0.03175 -0.01253 -0.01409 0.04028 0.00289 0.09652 -0.16177 0.00927 0.13247 0.00946 0.0542 -0.14244 -0.17211 -0.08442 0.03915 0.02694 -0.08148 0.06426 -0.16186 -0.02814 -0.0667 0.15536 -0.13899 -0.0901 -0.12314 0.16814 0.01963 -0.00913 -0.04089 -0.12425 -0.02407 -0.01165 0.04027 -0.14024 0.15866 0.03626 0.10228 0.14335 -0.08481 -0.05291 0.17232 -0.07306 0.07499 0.05311 0.03612 0.1166 -0.07774 0.16125 -0.13479 -0.03434 0.14782 -0.08498 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
ă	-0.09866 -0.13128 -0.03568 0.06225 -0.07088 -0.07053 -0.16966 0.07896 -0.06384 0.05421 -0.02848 0.00411 -0.13503 0.13194 -0.10184 -0.13726 0.04623 -0.00718 -0.00317 0.12981 0.04396 0.0456 -0.04122 0.05934 -0.1238 0.00761 -0.0973 -0.04802 0.0666 -0.04423 -0.04527 -0.11201 -0.15445 -0.06223 0.14645 -0.17237 0.02748 -0.09599 0.04534 0.10805 0.16669 0.12487 0.0389 -0.04328 -0.0601 -0.06868 -0.0537 0.09205 -0.16219 -0.02104 -0.00333 0.13049 -0.09164 -0.02336 -0.03383 -0.0029 -0.01483 0.08104 -0.13633 0.0759 0.07257 0.09954 -0.00262 0.13121 0.04091 -0.1579 0.09869 -0.14161 -0.10571 -0.01349 -0.03311 -0.09922 0.10978 -0.07364 -0.12046 -0.07056 0.01239 0.02362 -0.11265 0.01246 -0.10787 -0.03249 -0.10541 0.02503 0.06186 -0.12305 0.08364 0.06158 -0.15875 -0.08805 0.14965 -0.14727 0.07137 0.01591 0.10601 -0.06368 0.03728 0.00973 0.09598 -0.06974 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
a	-0.11737 0.03499 0.15996 0.06201 0.0011 0.10999 -0.06224 -0.08525 -0.07372 0.09969 0.12348 0.00905 0.01528 -0.11845 -0.09767 -0.08692 0.01155 0.10916 -0.11639 0.01969 0.01056 0.11044 0.14177 -0.14288 -0.11286 -0.00183 -0.03811 0.04307 -0.00741 0.13498 -0.05769 -0.05184 -0.1212 -0.16204 0.05796 0.14945 0.04247 0.1345 0.0431 -0.12843 -0.15387 -0.11334 -0.05461 0.11622 -0.02458 0.02759 0.00427 -0.15795 -0.1126 0.1504 -0.04574 -0.15027 0.12073 -0.14671 0.14406 -0.08058 0.14249 -0.00037 0.02629 0.15008 0.16713 0.13757 0.10172 -0.05401 0.07358 0.0111 -0.09156 -0.07568 0.09521 -0.03835 0.04577 -0.15666 0.0994 0.10078 0.05502 -0.117 -0.0705 0.07364 0.11986 0.16677 0.05486 -0.05317 0.14119 -0.00492 -0.03315 -5e-05 0.03715 -0.03345 0.16008 0.01085 -0.00124 -0.08601 -0.15655 0.13682 -0.17092 -0.07761 -0.16277 0.0219 0.04444 0.04366 -0.02503 0.03237 0.08521 -0.12475 -0.06842 -0.16888 0.0441 0.17127 0.01235 0.16351 -0.10158 -0.12367 0.12854 -0.08646 0.00497 0.16867 -0.00641 0.08233 -0.03584 0.04977 -0.14751 0.12062 -0.08994 0.03504 -0.10825 0.06176 -0.01428 -0.12228 0.02752 -0.02247 0.02217 0.10833 0.10665 -0.136 0.04723 -0.02297 -0.05739 0.13542 0.0852 -0.08745 -0.06211 -0.09454 -0.07155 0.01668 -0.05799 -0.01144 -0.09368 -0.15598 -0.16492 -0.16996 -0.03458 -0.13698 0.01888 0.06505 -0.15615 0.06264 -0.13073 -0.08522 0.10592 -0.04185 -0.17185 -0.04165 0.0663 0.08849 -0.10024 0.08931 -0.03608 -0.1333 -0.03605 -0.09089 -0.0233 -0.03888 -0.10765 0.0938 0.08843 0.02358 -0.12536 0.11116 -0.14824 -0.15859 0.03331 -0.11049 -0.09202 0.12768 -0.13044 -0.10735 -0.08741 -0.09639 0.03616 0.16464 -0.06263 -0.14624 0.03801 -0.03784 -0.05044 0.01819 0.05394 0.02276 -0.00218 0.00888
