u	-0.02356 -0.00257 -0.05132 -0.01944 -0.01354 0.11892 -0.09857 -0.10461 0.02565 0.04315 -0.00934 0.00953 0.1141 -0.02284 0.08993 -0.1363 -0.09056 -0.02682 -0.07018 -0.03624 -0.0897 0.16816 -0.14175 -0.10762 0.06121 0.13732 0.0115 0.04447 -0.02369 -0.09904 0.06178 0.0289 -0.01965 -0.11905 -0.16395 0.06649 -0.11899 0.00252 0.04254 -0.10282 -0.1176 -0.09939 0.15229 -0.04433 0.02758 0.16423 -0.06697 0.11788 -0.04336 0.02353 0.06817 -0.15494 0.14143 -0.07383 -0.081 0.02384 0.15046 0.06615 -0.15485 0.16612 -0.01306 0.0009 -0.01818 -0.09313 0.13653 0.00299 -0.02569 0.13251 -0.01274 0.00214 0.06819 0.15413 -0.04185 0.06846 -0.00972 -0.1081 0.07496 0.02139 0.15936 -0.07218 -0.07331 -0.02962 0.13423 -0.07003 0.03461 -0.05808 0.12035 -0.01175 -0.07925 -0.01885 -0.0754 0.02215 -0.00013 0.02549 -0.11675 0.07724 0.11903 0.14346 -0.02748 -0.1177 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
é	0.13028 0.02907 -0.03014 0.0221 0.02111 0.10306 -0.14072 -0.13502 -0.07676 -0.09604 0.05607 -0.03505 -0.06309 -0.1523 -0.02764 -0.00363 -0.17214 -0.01329 0.13805 0.07324 0.02854 -0.10205 0.04094 -0.07171 -0.06709 -0.09978 0.0702 0.12174 -0.03916 0.13752 0.10715 0.10115 -0.02817 -0.10818 0.09057 0.06103 -0.17084 -0.15572 0.11371 -0.01875 -0.12304 -0.07836 0.07522 -0.0204 -0.0544 -0.04218 0.00389 -0.11738 -0.14796 -0.08904 -0.08246 0.12702 -0.15907 -0.11987 0.08273 0.16873 -0.14519 -0.13936 -0.15092 0.15706 0.03759 0.02425 -0.04788 -0.10488 0.00357 0.11454 0.12336 0.10746 0.16533 0.05871 0.1337 -0.00026 -0.09191 -0.00285 0.09123 -0.1073 0.0999 0.10475 0.07009 0.17181 -0.08477 -0.1354 0.13485 -0.05295 -0.05363 0.11455 0.02469 0.08718 0.08919 -0.02868 -0.03672 -0.16648 -0.07863 0.11973 -0.12102 0.07652 0.1015 -0.16354 -0.1543 -0.09404 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
t	-0.13086 0.11174 0.16755 0.10871 -0.04132 0.0698 -0.02353 0.04025 0.03669 -0.02629 -0.02397 0.11738 -0.04105 0.15591 -0.02833 -0.07753 -0.15754 0.10046 -0.02363 0.16275 -0.02842 -0.03238 -0.01016 0.06499 -0.08507 -0.04613 0.02284 -0.16751 0.0078 0.01788 -0.04051 -0.00232 0.01063 -0.14825 0.10794 0.10864 0.05171 -0.07176 0.10754 0.12066 -0.09544 -0.1029 0.09093 0.08719 0.05527 0.06273 -0.07602 -0.11385 -0.02221 -0.11986 0.07504 -0.14141 0.11878 0.17406 0.16876 -0.11556 -0.09142 -0.17224 -0.10804 -0.1672 0.0899 0.0237 0.04028 -0.12826 -0.17244 0.06726 -0.01177 0.13011 0.0057 -0.13832 -0.08363 0.08743 -0.00054 0.07112 -0.13804 0.02916 -0.01225 0.04194 -0.06197 -0.09304 0.03955 0.08627 -0.12174 0.13676 -0.14036 0.02397 0.03178 -0.01879 -0.065 -0.06088 -0.13114 -0.08467 -0.00641 -0.10748 0.15147 -0.1587 -0.12852 0.01837 0.14922 -0.06742 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
-	0.01929 0.16385 -0.07042 0.02799 0.14578 0.04323 0.08245 0.03039 0.15588 0.15991 0.10894 -0.06258 0.02042 -0.1626 -0.14906 0.15699 0.049 -0.14852 0.04812 0.02438 0.16279 -0.1147 0.10494 0.08001 -0.00817 0.16394 0.16427 -0.16433 0.15247 0.11187 0.10397 -0.1459 0.11796 0.05822 -0.14521 0.14297 -0.06602 -0.14951 0.12558 0.17073 -0.1069 -0.13066 -0.06444 -0.13716 -0.09382 -0.08757 -0.0248 -0.08845 -0.14798 0.15236 0.06609 0.15606 0.09386 0.14593 -0.1502 0.06495 0.09689 0.00743 -0.00925 0.14654 -0.03852 0.13162 -0.04088 -0.1167 0.15179 0.14132 -0.0646 0.0979 -0.00577 0.07232 -0.12939 0.15259 0.10915 -0.10365 -0.0925 0.11438 0.0244 -0.01579 0.02047 -0.11887 -0.0275 -0.12414 0.09622 0.17164 0.00337 0.13474 -0.15624 -0.06817 -0.06395 -0.04263 -0.0541 0.03207 -0.16058 0.07325 -0.14611 0.0294 -0.05675 -0.06625 0.0176 -0.15484 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
g	-0.03636 0.10689 0.05548 -0.08064 0.08735 0.02832 0.11679 0.00311 -0.06099 0.074 -0.01415 -0.03253 0.03908 0.01958 -0.13856 -0.06144 0.04638 0.12929 -0.01301 0.05975 0.01367 -0.03387 -0.06131 -0.06634 -0.17114 -0.00154 0.03202 0.1248 0.03853 0.01067 0.02832 0.15384 -0.0801 -0.01867 0.02969 0.06407 0.05682 0.02318 -0.12788 -0.09229 0.16846 0.09105 0.15206 0.10594 0.02228 -0.15996 -0.15711 0.1019 0.09774 -0.10783 -0.11713 0.03534 -0.08518 -0.03348 -0.00721 0.09742 -0.16162 0.01217 -0.06244 0.0727 -0.16017 0.01488 -0.0038 -0.14854 -0.16188 0.00299 -0.07245 0.07471 -0.17242 0.16346 0.1634 0.17221 -0.05777 -0.13648 0.0585 -0.07071 -0.14246 -0.03331 0.0972 0.07049 -0.1157 0.05225 -0.11565 0.07887 -0.16796 -0.05961 0.12067 0.01067 -0.05471 0.06959 -0.12062 0.02227 0.08859 0.05086 0.1724 0.04959 -0.00589 0.10198 0.01565 -0.09186 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
ñ	0.16781 -0.12775 -0.00387 -0.14221 0.07058 -0.05551 -0.07608 0.01109 -0.0433 0.11251 0.08162 0.0355 0.10521 0.11396 0.07312 0.08759 0.07176 -0.14824 0.12628 0.15597 -0.05343 0.16703 -0.01306 0.05966 -0.06978 0.03343 -0.01593 0.01641 -0.12412 -0.1076 0.12 0.17041 -0.02335 0.0403 0.02286 -0.04908 0.06565 0.1213 0.06822 -0.04407 0.05178 0.03205 0.08331 -0.02921 -0.00404 0.09375 0.06954 -0.15202 -0.10477 -0.07345 0.14966 -0.08697 -0.10999 -0.10182 -0.12196 0.1348 -0.02701 -0.06092 -0.16624 -0.04419 -0.11305 -0.15582 0.15541 -0.06876 0.15806 -0.11355 -0.15094 0.00533 0.09967 0.14556 -0.15948 -0.15436 -0.0862 -0.12283 -0.0201 0.03244 0.08088 -0.13924 0.08943 -0.0961 -0.10864 0.03733 -0.06111 -0.11972 -0.0718 0.00922 0.12124 -0.02457 -0.13511 0.16641 -0.15724 0.16451 -0.16667 -0.08818 -0.01028 -0.01403 -0.01698 -0.01519 -0.0878 0.03607 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
h	-0.03785 0.11768 -0.12247 0.09096 0.00169 0.11855 -0.06914 0.11599 -0.10018 0.12261 0.00878 -0.06972 -0.13356 0.06978 0.0526 0.16659 -0.05072 -0.1433 -0.14178 0.05076 -0.13752 -0.03474 -0.14494 -0.07558 0.10501 0.11751 -0.16651 0.06856 -0.04198 0.14158 0.05141 -0.02217 0.14737 0.0052 -0.00509 -0.08542 0.16153 -0.03612 -0.09525 -0.0814 -0.07165 -0.17101 -0.04119 -0.07684 0.00134 -0.10811 -0.1226 -0.08658 -0.07271 0.0686 -0.04591 0.15192 0.06242 -0.16206 0.01151 0.1698 0.1452 -0.08491 -0.0137 -0.00131 -0.14676 -0.04035 0.03537 -0.08824 0.14305 -0.16898 0.01018 0.16663 -0.13733 -0.10184 -0.11367 0.00773 0.09574 0.07918 -0.1532 0.0364 0.04675 -0.09349 -0.0715 -0.10835 -0.03706 0.11625 0.1592 -0.06973 0.0633 -0.00021 0.00502 -0.16688 0.1104 -0.13381 -0.14332 -0.1355 -0.12309 -0.05282 0.02271 0.039 0.10711 -0.14575 0.10414 -0.09815 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
v	0.08605 0.16746 -0.11197 -0.11775 0.17232 -0.01014 0.15957 0.13507 -0.13535 -0.05498 -0.07216 -0.15595 -0.03767 0.151 -0.05839 0.15554 0.07759 -0.03955 -0.00729 -0.01753 -0.16048 -0.17124 -0.13045 -0.13843 -0.14826 -0.10685 0.13316 0.02777 -0.06673 0.08936 -0.06094 -0.04562 -0.07829 -0.06865 -0.13387 0.06012 0.0475 -0.11499 0.06848 -0.04544 0.03472 0.06827 -0.02372 0.0174 -0.01568 0.08322 -0.09263 -0.02266 0.03746 -0.06559 -0.15319 -0.01036 0.07746 -0.05649 0.07719 0.05162 -0.02599 -0.06548 0.13995 0.11482 -0.01185 0.06477 -0.04567 0.10127 0.02409 0.09068 0.10564 -0.10576 0.01131 0.06426 -0.00234 -0.06698 0.04071 -0.09289 -0.06151 0.14242 -0.02186 0.0344 -0.11595 0.03785 0.02946 -0.04306 -0.03048 0.03355 0.07319 0.06041 -0.149 -0.0688 0.13636 -0.05979 0.15947 0.15201 0.13874 -0.15894 -0.03316 0.15914 -0.04103 0.10847 -0.13497 -0.10642 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
o	0.04801 0.03761 0.09088 0.06062 0.08744 -0.16011 -0.15545 0.11197 0.08527 0.04234 0.1331 0.06706 -0.12867 -0.0442 0.08873 -0.05768 0.07603 -0.02125 0.15159 0.09157 0.15156 -0.03552 0.05234 0.06326 0.01352 0.11638 0.02657 -0.11587 0.16317 0.03103 0.11472 -0.09835 0.17136 -0.11392 0.03456 0.02779 0.08015 -0.01231 -0.05342 -0.09091 -0.04983 -0.08071 0.03381 0.15022 -0.0094 -0.13554 -0.04886 0.08996 -0.06651 -0.07273 -0.02072 -0.03232 -0.11788 -0.02193 -0.00756 -0.06846 0.13982 0.10105 -0.16191 -0.14712 -0.08571 0.01095 -0.13752 0.03159 0.16477 4e-05 -0.02625 0.09005 0.08912 0.04067 0.11596 -0.06474 0.07522 0.11173 0.03628 0.08623 -0.04089 0.14963 -0.04467 -0.16941 0.10928 -0.04161 0.16374 0.11173 -0.02674 0.03917 -0.11808 0.03512 0.11266 0.07133 -0.12018 0.08441 -0.05364 -0.10434 0.00575 -0.14605 0.03584 -0.1073 0.02881 0.06991 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
a	-0.04815 -0.05172 -0.05801 -0.13576 0.16787 -0.00767 0.09784 0.13499 -0.14537 -0.03833 0.02115 0.00275 0.09135 -0.11694 0.11889 -0.12829 -0.02061 -0.0392 0.03659 0.1123 -0.13058 0.16894 0.12557 0.08701 -0.08487 0.05973 -0.02065 0.12545 -0.1551 -0.04762 0.12732 0.15969 0.01909 -0.04148 0.10699 0.0885 -0.1529 -0.02801 -0.04819 0.01335 0.17607 -0.16063 -0.08177 0.13578 -0.03336 -0.02666 0.04927 -0.03863 0.00566 -0.15335 -0.15101 0.00166 0.01781 -0.14574 -0.15032 0.08295 0.10327 -0.1759 -0.06557 0.11892 -0.17484 -0.15999 0.01365 0.08853 -0.16065 -0.03839 -0.07126 -0.0295 0.11934 0.13811 -0.01555 0.05174 0.08124 0.0484 -0.03139 0.0356 0.05998 -0.02617 0.01695 0.14581 0.14467 -0.08342 -0.10678 -0.05052 0.16354 0.12887 -0.0093 -0.10612 -0.03242 0.09078 0.02617 -0.09139 0.03769 0.10601 -0.12184 0.14776 0.05563 0.02714 0.05948 0.04729 -0.06457 0.14256 -0.12269 0.04353 0.13494 -0.03454 0.02074 -0.07452 0.12129 -0.06916 -0.04039 0.0166 0.12664 0.12919 0.12382 0.05846 0.04725 -0.01385 0.07474 0.10661 0.01284 0.06239 0.115 -0.11202 0.13936 0.11048 0.14963 -0.06806 0.148 -0.03606 0.04266 -0.06862 0.0678 0.05875 -0.1413 -0.01831 0.15621 0.12771 -0.0259 0.07499 -0.05776 -0.17053 -0.05013 0.13167 0.00039 0.04195 -0.10489 0.15609 -0.15047 0.04461 0.01646 -0.01988 -0.00082 0.0356 -0.04485 -0.0561 -0.07958 0.0546 0.14417 0.13507 -0.03652 0.00512 0.01457 0.0078 -0.00067 -0.09293 -0.10637 -0.13601 0.13351 0.00668 0.07724 -0.02575 0.09587 -0.13749 -0.0625 -0.17153 0.01366 -0.01608 -0.05654 -0.12545 0.0874 0.06787 -0.12355 0.05246 -0.16994 -0.08521 -0.10331 -0.02762 -0.15191 0.04024 0.00186 0.04613 0.1477 0.00584 0.03141 -0.16233 -0.16633 -0.00927 -0.04611 0.03282
