ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-abil	-abl	-abile	-aβle	-avɛl	-aːbɪlɛm
-	-as	-atʃɛo	-aθeo	-asʊ	-aːkɛʊm
-aje	-aj	-aʎa	-al	-aʎɐ	-aːlɛm
-an	-	-ano	-ano	-ɐ̃ʊ̃	-aːnʊm
-	-	-arka	-aɾka	-aɾəkɐ	-arkʰam
-	-	-arkia	-	-ɐɾəkiɐ	-arkʰɪam
-ar	-je	-	-eɾo	-eɪɾʊ	-aːrɪʊm
-atek	-	-atiko	-aθɣo	-	-aːtɪkʊm
-at	-a	-ato	-ato	-atʊ	-aːtʊm
-	-sid	-	-θiða	-	-kiːdam
-	-	-tʃidio	-θiðjo	-	-kiːdɪʊm
-	-	-	-kola	-	-kɔlam
-jel	-o	-ɛllo	-elo	-ɛlʊ	-ɛllʊm
-ez	-ɛ	-ɛnse	-ɛnse	-eɪŋsɨ	-eːnsɛm
-	-	-	-	-eɪŋtʊ	-ɛntʊm
-	-ɛsk	-	-	-	-eːskɛrɛ
-	-e	-etto	-ito	-	-ɛttʊm
-et	-ɛ	-eto	-	-edʊ	-eːtʊm
-	-	-ɛo	-eo	-	-ɛʊm
-	-	-fitʃo	-	-	-fɪkɪʊm
-	-	-forme	-foɾme	-fɔɾəmɨ	-foːrmɛm
-ibil	-ibl	-evole	-iβle	-ivɛl	-ɪbɪlɛm
-ik	-ik	-iko	-iko	-ikʊ	-ɪkʊm
-	-	-ifitʃo	-	-	-ɪfɪkɪʊm
-	-ifje	-ifikare	-	-	-ɪfɪkaːrɛ
-il	-il	-iːle	-il	-	-ɪlɛm
-	-	-	-iʎo	-	-ɪllʊm
-in	-in	-iːno	-ino	-iɲʊ	-iːnʊm
-	-	-	-io	-	-joːnɛm
-esk	-wa	-	-sko	-iʃkʊ	-ɪskʊm
-	-im	-issimo	-isimo	-isimʊ	-ɪssɪmʊm
-	-ist	-ista	-ista	-iʃtɐ	-ɪstam
-itate	-	-ita	-eðad	-idadɨ	-ɪtaːtɛm
-	-it	-	-	-	-iːteːn
-itsje	-es	-itsia	-iθja	-	-ɪtɪam
-iw	-if	-ivo	-iβo	-ivʊ	-iːwʊm
-mɨnt	-mɑ̃	-mento	-mɛnto	-meɪŋtʊ	-mɛntʊm
-or	-œl	-olo	-welo	-ɔlɐ	-ɔlʊm
-	-œʁ	-	-	-	-oːrɛm
-os	-ø	-ozo	-oso	-ozʊ	-oːsʊm
-tate	-te	-ita	-dad	-dadɨ	-tatɛm
-tsjune	-sjɔ̃	-tsione	-θjon	-sɐ̃ʊ̃	-tɪoːnɛm
-tor	-tœʁ	-tore	-doɾ	-doɹ	-toːrɛm
-tor	-waʁ	-tojo	-toɾjo	-tɔɾjʊ	-toːrɪʊm
-	-tʁis	-tritʃe	-tɾiθ	-tɹiʃ	-triːkɛm
-itudʲine	-	-itudine	-	-	-tuːdɪnɛm
-tuɾə	-tyʁ	-tura	-duɾa	-	-tuːram
-	-	-olo	-welo	-	-ʊlʊm
-	-ø	-ɔː	-o	-	-ʊm
-	-vɔʁ	-vɔro	-	-	-wɔrʊm
-	-	abbatʃinare	-	-	abakɪnaːrɛ
-	-	-	-	ɐbɐtoɹ	abaktoːrɛm
-	abakyl	-	-	ɐbakulʊ	abakʊlʊm
-	abaljenasjɔ̃	abalienatsione	-	ɐbɐliɨnɐsɐ̃ʊ̃	abalɪeːnaːtɪoːnɛm
-	abaljene	abalienare	-	ɐbɐliɨnaɹ	abalɪeːnaːrɛ
-	-	abalieta	-	-	abalɪɛtaːtɛm
abatsje	abaj	abbatsia	aβaðia	ɐbɐdiɐ	abbaːtɪam
abatsjal	abasjal	-	aβaθjal	ɐbɐsiɑl	abbaːtɪaːlɛm
-	abʁevjasjɔ̃	abbrevjatsione	aβɾeβjaθjon	ɐbɹɨviɐsɐ̃ʊ̃	abbrɛwɪaːtɪoːnɛm
-	abʁevje	abbrevjare	aβɾeβjaɾ	ɐbɹɨviaɹ	abbrɛwɪaːrɛ
-	-	-	-	ɐbsizɐ̃ʊ̃	abkɪsɪoːnɛm
abdomen	abdomɛn	addɔme	abðomen	ɐbdɔmeɪŋ	abdoːmɛn
abdutʃe	-	-	abðuθiɾ	ɐbduziɹ	abduːkɛrɛ
-	abdyksjɔ̃	abdutsione	abðukθjon	ɐbdusɐ̃ʊ̃	abdʊktɪoːnɛm
-	-	-	-	ɐbɨsɨdaɾjʊ	abɛkɛdaːrɪʊm
alunə	avlin	-	aβeʎana	ɐvɨlɐ̃	abɛllanam
-	abɛʁe	aberrare	aβeraɾ	ɐbɨʁaɹ	abɛrraːrɛ
boɾɨ	aboʁe	aborrire	aβuriɾ	ɐvuʁiɹ	abhɔrreːrɛ
-	-	abjettare	aβjektaɾ	ɐbʒɨtaɹ	abɪkɛrɛ
-	-	-	aβjekθjon	ɐbʒɨsɐ̃ʊ̃	abɪɛktɪoːnɛm
-	abi	abete	aβeto	ɐbɛtʊ	abɪeːtɛm
-	-	abidʒeato	aβixeato	ɐbiʒiatʊ	abɪɡɛaːtʊm
-	-	-	aβixeo	ɐbiʒiʊ	abɪɡɛʊm
-	-	-	-	ɐbʒudikaɹ	abɪuːdɪkaːrɛ
-	-	-	-	ɐbʒũŋʒiɹ	abɪʊŋɡɛrɛ
-	abʒyʁasjɔ̃	-	aβxuɾaθjon	ɐbʒuɾɐsɐ̃ʊ̃	abɪuːraːtɪoːnɛm
-	-	-	-	ɐbʒuɾəɡaɹ	abɪuːrɡaːrɛ
-	abʒyʁe	abjurare	aβxuɾaɾ	ɐbʒuɾaɹ	abɪuːraːrɛ
-	ablaktasjɔ̃	-	-	ɐblɐtɐsɐ̃ʊ̃	ablaktaːtɪoːnɛm
-	-	-	aβlaktaɾ	ɐblɐtaɹ	ablaktaːrɛ
-	-	ablakweatsione	aβlakeaθjon	ɐblɐkeɐsɐ̃ʊ̃	ablakwɛaːtɪoːnɛm
-	-	-	-	ɐblɐtoɹ	ablaːtoːrɛm
-	-	ableɡatsione	-	ɐblɨɡɐsɐ̃ʊ̃	ableːɡaːtɪoːnɛm
-	-	-	-	ɐblɨɡaɹ	ableːɡaːrɛ
-	-	-	-	ɐblɨpsiɐ	ablɛpsɪam
-	ablye	-	-	ɐbluiɹ	ablʊɛrɛ
-	-	-	-	ɐblutʊ	abluːtoːrɛm
