Romanian	French	Italian	Spanish	Portuguese	Latin-reconstruct
-	acquérir	-	adquirir	adquirir	acquaerire
cumpli	complir	-	-	-	complire
muri	mourir	morire	morir	morrer	morire
dirept	-	diretto	derecho	direito	derectum
scădea	échoir	scadere	-	-	excadere
-	parler	parlare	-	-	paraulare
-	gagner	guadagnare	guadañar	ganhar	wadaniare
impozit	impôt	imposta	impuesto	imposto	impositum
-	mêler	mescolare	mezclar	-	misculare
încălzi	-	-	-	-	incaldire
-	boscage	-	-	-	boscaticum
bară	barre	barra	barra	barra	barram
-	blanc	bianco	blanco	branco	blancum
-	guerre	guerra	guerra	guerra	werram
-	ficher	ficcare	hincar	fincar	ficcare
-	chapeau	cappello	capillo	capelo	cappellum
puți	puer	putire	pudir	-	putire
gheață	glace	ghiaccia	-	-	glaciam
-	-	voltare	-	voltar	voltare
-	périr	perire	perecer	perecer	perire
-	-	-	lagarto	lagarto	lacartum
-	-	nino	niño	nenê	ninnum
-	parrain	padrino	padrino	padrinho	patrinum
-	marraine	madrina	madrina	madrinha	matrinam
-	patte	-	pata	pata	pattam
varză	verza	-	berza	verça	virdiam
