ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	ANCESTOR
a	à	a	a	a	ad
abac	abaque	abbaco	ábaco	ábaco	abacum
abanos	ébène	ebano	ébano	ébano	ebenum
abatesă	abbesse	abbadessa	abadesa	abadessa	abbatissam
abdica	abdiquer	abdicare	abdicar	abdicar	abdicare
aberație	aberration	aberrazione	aberración	aberração	aberrationem
abject	abject	abietto	abyecto	abjeto	abiectum
ablațiune	ablation	ablazione	ablación	ablação	ablationem
ablativ	ablatif	ablativo	ablativo	ablativo	ablativum
abluțiune	ablution	abluzione	ablución	ablução	ablutionem
abnegație	abnégation	abnegazione	abnegación	abnegação	abnegationem
aboli	abolir	abolire	abolir	abolir	abolere
abominabil	abominable	abominabile	abominable	abominável	abominabilem
abortiv	abortif	abortivo	abortivo	abortivo	abortivum
absent	absent	assente	ausente	ausente	absentem
absență	absence	assenza	ausencia	ausência	absentiam
absint	absinthe	assenzio	ajenjo	sintro	absinthium
absorbi	absorber	assorbire	absorber	absorver	absorbere
abstinent	abstinent	astinente	abstinente	abstinente	abstinentem
abstinență	abstinence	astinenza	abstinencia	abstinência	abstinentiam
abstracție	abstraction	astrazione	abstracción	abstração	abstractionem
absurd	absurde	assurdo	absurdo	absurdo	absurdum
abunda	abonder	abbondare	abundar	abundar	abundare
abundență	abondance	abbondanza	abundancia	abundância	abundantiam
abuz	abus	abuso	abuso	abuso	abusum
acacie	acacia	acacia	acacia	acácia	acaciam
academie	académie	académia	academia	academia	academiam
academic	académique	accademico	académico	acadêmico	academicum
acăța	chasser	cacciare	cazar	caçar	accaptiare
accelera	accélérer	accelerare	acelerar	acelerar	accelerare
accelerație	accélération	accelerazione	aceleración	aceleração	accelerationem
accepta	accepter	accettare	aceptar	aceitar	acceptare
accesibil	accessible	accessibile	accesible	acessível	accessibilem
acel	cela	quello	aquel	aquello	ecceillu
acid	acide	acido	ácido	ácido	acidum
aclama	acclamer	acclamare	aclamar	aclamar	acclamare
aclamație	acclamation	acclamazione	aclamación	aclamação	acclamationem
acomoda	accommoder	accomodare	acomodar	acomodar	accommodare
acru	acre	acro	agrio	agro	acrem
acțiune	action	azione	acción	ação	actionem
activ	actif	attivo	activo	ativo	activum
activitate	activité	attività	actividad	atividade	activitatem
acumula	accumuler	accumulare	acumular	acumular	accumulare
acuzativ	accusatif	accusativo	acusativo	acusativo	accusativum
acvariu	aquarium	acquario	acuario	aquário	aquarium
acvatic	aquatique	acquatico	acuático	aquático	aquaticum
acvilă	aigle	aquila	águila	águia	aquilam
adagiu	adage	adagio	adagio	adágio	adagium
adapta	adapter	adattare	adaptar	adaptar	adaptare
adera	adhérer	aderire	adherir	aderir	adhaerere
adeziune	adhésion	adesione	adhesión	adesão	adhaesionem
adiacent	adiacent	adiacente	adyacente	adjacente	adiacentem
adjectiv	adjectif	aggettivo	adjetivo	adjetivo	adiectivum
adjutant	adjudant	aiutante	ayudante	ajudante	adiutantem
administrație	administration	amministrazione	administración	administração	administrationem
administrator	administrateur	amministratore	administrador	administrador	administratorem
admira	admirer	ammirare	admirar	admirar	admirare
admirație	admiration	ammirazione	admiración	admiração	admirationem
admirațiune	admiration	ammirazione	admiración	admiração	admirationem
admite	admettre	ammettere	admitir	admitir	admittere
admisiune	admission	ammissione	admisión	admissão	admissionem
adolescent	adolescent	adolescente	adolescente	adolescente	adolescentem
adopta	adopter	adottare	adoptar	adotar	adoptare
adopție	adoption	adozione	adopción	adoção	adoptionem
adoptiv	adoptif	adottivo	adoptivo	adotivo	adoptivum
adorabil	adorable	adorabile	adorable	adorável	adorabilem
adorator	adorateur	adoratore	adorador	adorador	adoratorem
aduce	aduir	addurre	aducir	aduzir	adducere
adult	adulte	adulto	adulto	adulto	adultum
adulter	adultère	adulterio	adulterio	adultério	adulterium
adverb	adverbe	avverbio	adverbio	advérbio	adverbium
adverbial	adverbial	avverbiale	adverbial	adverbial	adverbialis
adversar	adversaire	avversario	adversario	adversário	adversarium
adversitate	adversité	avversità	adversidad	adversidade	adversitatem
aer	air	aria	aire	ar	aerem
afabil	affable	affabile	afable	afável	affabilem
afabilitate	affabilité	affabilità	afabilidad	afabilidade	affabilitatem
afecta	affecter	affettare	afectar	afetar	affectare
afectație	affectation	affettazione	afectación	afetação	affectationem
afectiv	affectif	affettivo	afectivo	afetivo	affectivum
afinitate	affinité	affinità	afinidad	afinidade	affinitatem
afluent	affluent	affluente	afluente	afluente	affluentem
aforism	aphorisme	aforisma	aforismo	aforismo	aphorismum
afunda	afonder	affondare	afondar	afundar	affundare
agent	agent	agente	agente	agente	agentem
agil	agile	agile	ágil	ágil	agilem
agitație	agitation	agitazione	agitación	agitação	agitationem
agonie	agonie	agonia	agonía	agonia	agoniam
agresiune	agression	aggressione	agresión	agressão	aggressionem
