ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	ANCESTOR
a	à	a	a	a	ad
abac	abaque	abbaco	ábaco	ábaco	abacum
abanos	ébène	ebano	ébano	ébano	ebenum
abatesă	abbesse	abbadessa	abadesa	abadessa	abbātissam
abdica	abdiquer	abdicare	abdicar	abdicar	abdicāre
aberație	aberration	aberrazione	aberración	aberração	aberrātiōnem
abject	abject	abietto	abyecto	abjeto	abiectum
ablațiune	ablation	ablazione	ablación	ablação	ablātiōnem
ablativ	ablatif	ablativo	ablativo	ablativo	ablativum
abluțiune	ablution	abluzione	ablución	ablução	ablūtiōnem
abnegație	abnégation	abnegazione	abnegación	abnegação	abnegātiōnem
aboli	abolir	abolire	abolir	abolir	abolēre
abominabil	abominable	abominabile	abominable	abominável	abōminābilem
abortiv	abortif	abortivo	abortivo	abortivo	abortīvum
absent	absent	assente	ausente	ausente	absentem
absență	absence	assenza	ausencia	ausência	absentiam
absint	absinthe	assenzio	ajenjo	sintro	absinthium
absorbi	absorber	assorbire	absorber	absorver	absorbēre
abstinent	abstinent	astinente	abstinente	abstinente	abstinentem
abstinență	abstinence	astinenza	abstinencia	abstinência	abstinentiam
abstracție	abstraction	astrazione	abstracción	abstração	abstractiōnem
absurd	absurde	assurdo	absurdo	absurdo	absurdum
abunda	abonder	abbondare	abundar	abundar	abundāre
abundență	abondance	abbondanza	abundancia	abundância	abundantiam
abuz	abus	abuso	abuso	abuso	abūsum
acacie	acacia	acacia	acacia	acácia	acāciam
academie	académie	académia	academia	academia	academiam
academic	académique	accademico	académico	acadêmico	acadēmicum
acăța	chasser	cacciare	cazar	caçar	accaptiāre
accelera	accélérer	accelerare	acelerar	acelerar	accelerāre
accelerație	accélération	accelerazione	aceleración	aceleração	accelerātiōnem
accepta	accepter	accettare	aceptar	aceitar	acceptāre
accesibil	accessible	accessibile	accesible	acessível	accessibilem
acel	cela	quello	aquel	aquello	ecceillu
acid	acide	acido	ácido	ácido	acidum
aclama	acclamer	acclamare	aclamar	aclamar	acclāmāre
aclamație	acclamation	acclamazione	aclamación	aclamação	acclāmātiōnem
acomoda	accommoder	accomodare	acomodar	acomodar	accommodāre
acru	acre	acro	agrio	agro	acrem
acțiune	action	azione	acción	ação	āctiōnem
activ	actif	attivo	activo	ativo	actīvum
activitate	activité	attività	actividad	atividade	actīvitatem
acumula	accumuler	accumulare	acumular	acumular	accumulāre
acuzativ	accusatif	accusativo	acusativo	acusativo	accūsātīvum
acvariu	aquarium	acquario	acuario	aquário	aquārium
acvatic	aquatique	acquatico	acuático	aquático	aquāticum
acvilă	aigle	aquila	águila	águia	aquilam
adagiu	adage	adagio	adagio	adágio	adagium
adapta	adapter	adattare	adaptar	adaptar	adaptāre
adera	adhérer	aderire	adherir	aderir	adhaerēre
adeziune	adhésion	adesione	adhesión	adesão	adhaesiōnem
adiacent	adiacent	adiacente	adyacente	adjacente	adiacentem
adjectiv	adjectif	aggettivo	adjetivo	adjetivo	adiectīvum
adjutant	adjudant	aiutante	ayudante	ajudante	adiūtantem
administrație	administration	amministrazione	administración	administração	administrātiōnem
administrator	administrateur	amministratore	administrador	administrador	administrātōrem
admira	admirer	ammirare	admirar	admirar	admīrāre
admirație	admiration	ammirazione	admiración	admiração	admīrātiōnem
admirațiune	admiration	ammirazione	admiración	admiração	admīrātiōnem
admite	admettre	ammettere	admitir	admitir	admittēre
admisiune	admission	ammissione	admisión	admissão	admissiōnem
adolescent	adolescent	adolescente	adolescente	adolescente	adolēscentem
adopta	adopter	adottare	adoptar	adotar	adoptāre
adopție	adoption	adozione	adopción	adoção	adoptiōnem
adoptiv	adoptif	adottivo	adoptivo	adotivo	adoptīvum
adorabil	adorable	adorabile	adorable	adorável	adōrābilem
adorator	adorateur	adoratore	adorador	adorador	adōrātōrem
aduce	aduir	addurre	aducir	aduzir	addūcere
adult	adulte	adulto	adulto	adulto	adultum
adulter	adultère	adulterio	adulterio	adultério	adulterium
adverb	adverbe	avverbio	adverbio	advérbio	adverbium
adverbial	adverbial	avverbiale	adverbial	adverbial	adverbiālis
adversar	adversaire	avversario	adversario	adversário	adversārium
adversitate	adversité	avversità	adversidad	adversidade	adversitātem
aer	air	aria	aire	ar	āerem
afabil	affable	affabile	afable	afável	affābilem
afabilitate	affabilité	affabilità	afabilidad	afabilidade	affābilitātem
afecta	affecter	affettare	afectar	afetar	affectāre
afectație	affectation	affettazione	afectación	afetação	affectātiōnem
afectiv	affectif	affettivo	afectivo	afetivo	affectīvum
afinitate	affinité	affinità	afinidad	afinidade	affīnitātem
afluent	affluent	affluente	afluente	afluente	affluentem
aforism	aphorisme	aforisma	aforismo	aforismo	aphorismum
afunda	afonder	affondare	afondar	afundar	affundāre
agent	agent	agente	agente	agente	agentem
