ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-abil	-able	-abile	-able	-ável	-a:bilem
-	-asse	-aceo	-áceo	-aço	-a:ceum
-aie	-aille	-aglia	-al	-alha	-a:lem
-an	-	-ano	-ano	-ão	-a:num
-	-	-arca	-arca	-arca	-archam
-	-	-archia	-	-arquia	-archiam
-ar	-ier	-	-ero	-eiro	-a:rium
-atec	-	-atico	-azgo	-	-a:ticum
-at	-at	-ato	-ato	-ato	-a:tum
-	-cide	-	-cida	-	-ci:dam
-	-	-cidio	-cidio	-	-ci:dium
-	-	-	-cola	-	-colam
-el	-eau	-ello	-elo	-elo	-ellum
-ez	-ais	-ense	-ense	-ense	-e:nsem
-	-	-	-	-ento	-entum
-	-esque	-	-	-	-e:scere
-	-et	-etto	-ito	-	-ettum
-et	-aie	-eto	-	-edo	-e:tum
-	-	-eo	-eo	-	-eum
-	-	-ficio	-	-	-ficium
-	-	-forme	-forme	-forme	-fo:rmem
-ibil	-ible	-evole	-ible	-ível	-ibilem
-ic	-ique	-ico	-ico	-ico	-icum
-	-	-ificio	-	-	-ificium
-	-ifier	-ificare	-	-	-ifica:re
-il	-ile	-ile	-il	-	-ilem
-	-	-	-illo	-	-illum
-in	-in	-ino	-ino	-inho	-i:num
-	-	-	-ío	-	-io:nem
-esc	-ois	-	-sco	-isco	-iscum
-	-îme	-issimo	-ísimo	-íssimo	-issimum
-	-iste	-ista	-ista	-ista	-istam
-itate	-	-ità	-edad	-idade	-ita:tem
-	-ite	-	-	-	-i:te:n
-iție	-esse	-izia	-icia	-	-itiam
-iu	-if	-ivo	-ivo	-ivo	-i:vum
-mânt	-ment	-mento	-mento	-mento	-mentum
-or	-eul	-olo	-uelo	-ola	-olum
-	-eur	-	-	-	-o:rem
-os	-eux	-oso	-oso	-oso	-o:sum
-tate	-té	-ità	-dad	-dade	-tatem
-țiune	-tion	-zione	-ción	-ção	-tio:nem
-tor	-teur	-tore	-dor	-dor	-to:rem
-tor	-oire	-toio	-torio	-tório	-to:rium
-	-trice	-trice	-triz	-triz	-tri:cem
-itudine	-	-itudine	-	-	-tu:dinem
-tură	-ture	-tura	-dura	-	-tu:ram
-	-	-olo	-uelo	-	-ulum
-	-eux	-o	-o	-	-um
-	-vore	-voro	-	-	-vorum
-	-	abbacinare	-	-	abacina:re
-	-	-	-	abactor	abacto:rem
-	abacule	-	-	abáculo	abaculum
-	abaliénation	abalienazione	-	abalienação	abalie:na:tio:nem
-	abaliéner	abalienare	-	abalienar	abalie:na:re
-	-	abalietà	-	-	abalieta:tem
abație	abbaye	abbazia	abadía	abadia	abba:tiam
abațial	abbatial	-	abacial	abacial	abba:tia:lem
-	abréviation	abbreviazione	abreviación	abreviação	abbrevia:tio:nem
-	abrévier	abbreviare	abreviar	abreviar	abbrevia:re
-	-	-	-	abscisão	abcisio:nem
abdomen	abdomen	addome	abdomen	abdómen	abdo:men
abduce	-	-	abducir	abduzir	abdu:cere
-	abduction	abduzione	abducción	abdução	abductio:nem
-	-	-	-	abecedário	abeceda:rium
alună	aveline	-	avellana	avelã	abellanam
-	aberrer	aberrare	aberrar	aberrar	aberra:re
borî	abhorrer	aborrire	aburrir	avorrir	abhorre:re
-	-	abiettare	abyectar	abjetar	abicere
-	-	-	abyección	abjeção	abiectio:nem
-	abies	abete	abeto	abeto	abie:tem
-	-	abigeato	abigeato	abigeato	abigea:tum
-	-	-	abigeo	abígeo	abigeum
-	-	-	-	abjudicar	abiu:dica:re
-	-	-	-	abjungir	abiungere
-	abjuration	-	abjuración	abjuração	abiu:ra:tio:nem
-	-	-	-	abjurgar	abiu:rga:re
-	abjurer	abiurare	abjurar	abjurar	abiu:ra:re
-	ablactation	-	-	ablactação	ablacta:tio:nem
-	-	-	ablactar	ablactar	ablacta:re
-	-	ablaqueazione	ablaqueación	ablaqueação	ablaquea:tio:nem
-	-	-	-	ablator	abla:to:rem
-	-	ablegazione	-	ablegação	able:ga:tio:nem
-	-	-	-	ablegar	able:ga:re
-	-	-	-	ablepsia	ablepsiam
-	abluer	-	-	abluir	abluere
-	-	-	-	abluto	ablu:to:rem
-	abnéguer	abnegare	abnegar	abnegar	abnega:re
abnorm	-	abnorme	-	-	abno:rmem
-	-	-	abnuir	abnuir	abnuere
-	abolition	abolizione	abolición	abolição	abolitio:nem
-	-	abomaso	abomaso	abomaso	aboma:sum
-	abomination	abominazione	abominación	abominação	abo:mina:tio:nem
-	abominer	-	-	-	abo:mina:re
-	abominer	abominare	abominar	abominar	abo:mina:ri:
-	-	abradere	-	-	abra:dere
-	-	-	-	abrenunciação	abrenuntia:tio:nem
-	-	-	abrogación	ab-rogação	abroga:tio:nem
abroga	abroger	abrogare	abrogar	ab-rogar	abroga:re
-	aurone	abrotano	abrótano	abrótano	abrotonum
-	abrompre	-	-	-	abrumpere
-	-	-	-	abrupção	abruptio:nem
-	abscisse	-	abscisa	-	abscindere
-	-	-	-	abscissa	abscissam
ascunde	abscondre	ascondere	esconder	esconder	abscondere
ascuns	abscons	ascoso	escuso	-	absconsum
-	-	-	ausentar	-	absenta:re
-	absolution	assoluzione	absolución	absolução	absolu:tio:nem
absolvi	absoudre	assolvere	absolver	absolver	absolvere
-	absorption	-	absorción	absorção	absorptio:nem
-	-	astemio	abstemio	abstémio	abste:mium
-	absterger	astergere	absterger	absterger	absterge:re
abține	abstenir	astenere	abstener	abster	abstine:re
abstrage	abstraire	astrarre	abstraer	abstrair	abstrahere
-	-	-	-	abstruir	abstru:dere
-	-	-	-	abstrusão	abstru:sio:nem
-	abstrus	astruso	-	-	abstru:sum
absurditate	absurdité	assurdità	absurdidad	absurdidade	absurdita:tem
-	-	-	abundantísimo	-	abunda:ntissimum
-	-	-	-	abusão	abu:sio:nem
abuziv	abusif	-	abusivo	abusivo	abu:si:vum
abuza	abuser	abusare	-	abusar	abu:ti:
-	abîme	abisso	abismo	abismo	abyssum
-	académie	accademia	academia	academia	acade:mi:am
acantă	acanthe	acanto	acanto	acanto	acanthum
-	-	-	-	acatalepsia	acatale:psiam
-	-	-	acaldar	-	accapita:re
-	accéder	accedere	acceder	aceder	acce:dere
-	-	-	-	aceleratório	accelera:to:rium
-	-	accendere	-	acender	accendere
accent	accent	accento	acento	acento	accentum
-	acception	accezione	acepción	acepção	acceptio:nem
-	accession	accession	accesión	acessão	accessio:nem
-	accessoire	accessorio	-	acessório	accesso:rium
-	-	-	acceso	acesso	accessum
-	-	-	-	acidente	accidentem
-	-	-	-	acidência	accidentiam
-	accepter	accettare	aceptar	aceitar	accipere
-	autour	astore	azor	açor	asturem
-	-	-	aclarar	aclarar	accla:ra:re
-	-	accline	-	-	accli:nem
-	-	-	-	aclividade	accli:vita:tem
-	accommodation	accomodazione	acomodación	acomodação	accommoda:tio:nem
-	-	-	aconsejar	aconselhar	acconcilia:re
-	-	accrescere	acrecer	acrescer	accre:scere
acreție	accrétion	accrezione	acreción	acreção	accre:tio:nem
-	-	-	-	acúbito	accubitum
-	accumulation	accumulazione	acumulación	acumulação	accumula:tio:nem
-	-	-	acurar	-	accu:ra:re
-	accourir	accorrere	acorrer	acorrer	accurrere
-	accusable	accusabile	-	acusável	accu:sa:bilem
-	-	-	-	acusante	accu:santem
acuzație	accusation	accusazione	acusación	acusação	accu:sa:tio:nem
acuzător	accusateur	accusatore	acusador	acusador	accu:sa:to:rem
-	accusatoire	accusatorio	acusatorio	acusatório	accu:sa:to:rium
-	-	accusatrice	-	-	accu:sa:tri:cem
acuza	accuser	accusare	acusar	acusar	accu:sa:re
-	-	accidia	-	acédia	ace:diam
-	-	-	acéfalo	acéfalo	acephalum
arțar	érable	acero	ácere	ácer	a:crem
-	-	acerbità	acerbidad	acerbidade	acerbita:tem
acerb	acerbe	acerbo	acerbo	acerbo	acerbum
-	-	cernia	-	-	acerniam
-	-	-	-	acervação	acerva:tio:nem
-	-	-	acervar	-	acerva:re
-	-	-	acervo	acervo	acervum
acetabul	acétabule	acetabolo	-	acetábulo	ace:ta:bulum
oțet	-	aceto	acedo	azedo	ace:tum
-	agate	agata	ágata	ágata	acha:te:n
ață	-	accia	-	-	aciam
-	-	-	-	acícula	aciculam
-	-	acidità	-	acididade	acidita:tem
-	acier	acciaio	haz	az	aciem
-	-	acino	-	ácino	acinum
-	-	aconito	-	acônito	aconi:tum
-	acquiescer	-	-	aquiescer	acquie:scere
-	acquérir	acquisire	adquirir	adquirir	acqui:rere
achiziție	acquisition	acquisizione	adquisición	aquisição	acquisi:tio:nem
-	acrimonie	acrimonia	acrimonia	acrimônia	a:crimo:niam
-	âcreté	-	-	acridade	a:crita:tem
-	-	-	acritud	acritude	a:critu:dinem
-	-	-	-	acroama	acroa:ma
-	-	-	acta	acta	a:cta
-	-	-	-	acteia	actaeam
activitate	activité	attività	actividad	atividade	a:cti:vita:tem
-	actif	attivo	activo	ativo	a:cti:vum
actor	acteur	attore	actor	ator	a:cto:rem
-	actrice	attrice	actriz	atriz	a:ctri:cem
-	actuel	attuale	-	actual	actua:lem
-	actuaire	attuario	actuario	-	a:ctua:rium
-	-	attuare	actuar	actuar	a:ctua:re
act	acte	atto	acto	acto	a:ctum
